"Benefit","Ethnicity","Value"
"Employment and Support Allowance  ","All","4"
"Employment and Support Allowance  ","Asian","2"
"Employment and Support Allowance  ","Bangladeshi","3"
"Employment and Support Allowance  ","Chinese","1"
"Employment and Support Allowance  ","Indian","2"
"Employment and Support Allowance  ","Pakistani","3"
"Employment and Support Allowance  ","Asian other","3"
"Employment and Support Allowance  ","Black","4"
"Employment and Support Allowance  ","Mixed","4"
"Employment and Support Allowance  ","White British","4"
"Employment and Support Allowance  ","White other","1"
"Employment and Support Allowance  ","Other","3"
"Jobseeker's Allowance  ","All","2"
"Jobseeker's Allowance  ","Asian","2"
"Jobseeker's Allowance  ","Bangladeshi","2"
"Jobseeker's Allowance  ","Chinese","-"
"Jobseeker's Allowance  ","Indian","1"
"Jobseeker's Allowance  ","Pakistani","4"
"Jobseeker's Allowance  ","Asian other","2"
"Jobseeker's Allowance  ","Black","5"
"Jobseeker's Allowance  ","Mixed","4"
"Jobseeker's Allowance  ","White British","2"
"Jobseeker's Allowance  ","White other","1"
"Jobseeker's Allowance  ","Other","3"
