"Ethnicity","Highest qualification held",""
"All","All","83%"
"All","Level 4 and above","90%"
"All","Level 3","86%"
"All","Level 2","81%"
"All","Below Level 2","77%"
"All","Other qualifications","86%"
"All","No qualifications","56%"
"Asian","All","84%"
"Asian","Level 4 and above","92%"
"Asian","Level 3","84%"
"Asian","Level 2","73%"
"Asian","Below Level 2","75%"
"Asian","Other qualifications","82%"
"Asian","No qualifications","67%"
"Black","All","78%"
"Black","Level 4 and above","85%"
"Black","Level 3","82%"
"Black","Level 2","73%"
"Black","Below Level 2","69%"
"Black","Other qualifications","83%"
"Black","No qualifications","54%"
"Mixed","All","80%"
"Mixed","Level 4 and above","94%"
"Mixed","Level 3","81%"
"Mixed","Level 2","64%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","83%"
"White","Level 4 and above","90%"
"White","Level 3","87%"
"White","Level 2","82%"
"White","Below Level 2","78%"
"White","Other qualifications","86%"
"White","No qualifications","54%"
"Other","All","81%"
"Other","Level 4 and above","90%"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","85%"
"Other","No qualifications","59%"
