"Ethnicity","Highest qualification held",""
"All","All","3%"
"All","Level 4 and above","2%"
"All","Level 3","3%"
"All","Level 2","4%"
"All","Below Level 2","5%"
"All","Other qualifications","3%"
"All","No qualifications","6%"
"Asian","All","4%"
"Asian","Level 4 and above","3%"
"Asian","Level 3","7%"
"Asian","Level 2","8%"
"Asian","Below Level 2","7%"
"Asian","Other qualifications","4%"
"Asian","No qualifications","5%"
"Black","All","7%"
"Black","Level 4 and above","7%"
"Black","Level 3","8%"
"Black","Level 2","8%"
"Black","Below Level 2","13%"
"Black","Other qualifications","3%"
"Black","No qualifications","9%"
"Mixed","All","5%"
"Mixed","Level 4 and above","2%"
"Mixed","Level 3","6%"
"Mixed","Level 2","7%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","3%"
"White","Level 4 and above","2%"
"White","Level 3","3%"
"White","Level 2","4%"
"White","Below Level 2","5%"
"White","Other qualifications","3%"
"White","No qualifications","6%"
"Other","All","4%"
"Other","Level 4 and above","2%"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","3%"
"Other","No qualifications","5%"
