"Time","Ethnicity","%"
"2009/10-2011/12","All","9"
"2009/10-2011/12","Asian","12"
"2009/10-2011/12","Bangladeshi","27"
"2009/10-2011/12","Chinese","!"
"2009/10-2011/12","Indian","8"
"2009/10-2011/12","Pakistani","24"
"2009/10-2011/12","Asian other","!"
"2009/10-2011/12","Black","17"
"2009/10-2011/12","Mixed","14"
"2009/10-2011/12","White","8"
"2009/10-2011/12","White British","10"
"2009/10-2011/12","White other","8"
"2009/10-2011/12","Other","12"
"2010/11-2012/13","All","9"
"2010/11-2012/13","Asian","12"
"2010/11-2012/13","Bangladeshi","26"
"2010/11-2012/13","Chinese","!"
"2010/11-2012/13","Indian","6"
"2010/11-2012/13","Pakistani","24"
"2010/11-2012/13","Asian other","12"
"2010/11-2012/13","Black","19"
"2010/11-2012/13","Mixed","15"
"2010/11-2012/13","White","8"
"2010/11-2012/13","White British","9"
"2010/11-2012/13","White other","8"
"2010/11-2012/13","Other","12"
"2011/12-2013/14","All","8"
"2011/12-2013/14","Asian","12"
"2011/12-2013/14","Bangladeshi","27"
"2011/12-2013/14","Chinese","!"
"2011/12-2013/14","Indian","6"
"2011/12-2013/14","Pakistani","22"
"2011/12-2013/14","Asian other","!"
"2011/12-2013/14","Black","20"
"2011/12-2013/14","Mixed","14"
"2011/12-2013/14","White","8"
"2011/12-2013/14","White British","9"
"2011/12-2013/14","White other","!"
"2011/12-2013/14","Other","14"
"2012/13-2014/15","All","8"
"2012/13-2014/15","Asian","11"
"2012/13-2014/15","Bangladeshi","24"
"2012/13-2014/15","Chinese","!"
"2012/13-2014/15","Indian","6"
"2012/13-2014/15","Pakistani","21"
"2012/13-2014/15","Asian other","!"
"2012/13-2014/15","Black","19"
"2012/13-2014/15","Mixed","12"
"2012/13-2014/15","White","8"
"2012/13-2014/15","White British","8"
"2012/13-2014/15","White other","!"
"2012/13-2014/15","Other","14"
"2013/14-2015/16","All","8"
"2013/14-2015/16","Asian","10"
"2013/14-2015/16","Bangladeshi","25"
"2013/14-2015/16","Chinese","!"
"2013/14-2015/16","Indian","5"
"2013/14-2015/16","Pakistani","18"
"2013/14-2015/16","Asian other","!"
"2013/14-2015/16","Black","17"
"2013/14-2015/16","Mixed","11"
"2013/14-2015/16","White","8"
"2013/14-2015/16","White British","8"
"2013/14-2015/16","White other","!"
"2013/14-2015/16","Other","13"
"2014/15-2016/17","All","8"
"2014/15-2016/17","Asian","10"
"2014/15-2016/17","Bangladeshi","24"
"2014/15-2016/17","Chinese","!"
"2014/15-2016/17","Indian","5"
"2014/15-2016/17","Pakistani","19"
"2014/15-2016/17","Asian other","!"
"2014/15-2016/17","Black","17"
"2014/15-2016/17","Mixed","11"
"2014/15-2016/17","White","7"
"2014/15-2016/17","White British","8"
"2014/15-2016/17","White other","!"
"2014/15-2016/17","Other","12"
"2015/16-2017/18","All","8"
"2015/16-2017/18","Asian","9"
"2015/16-2017/18","Bangladeshi","27"
"2015/16-2017/18","Chinese","!"
"2015/16-2017/18","Indian","5"
"2015/16-2017/18","Pakistani","18"
"2015/16-2017/18","Asian other","!"
"2015/16-2017/18","Black","17"
"2015/16-2017/18","Mixed","11"
"2015/16-2017/18","White","6"
"2015/16-2017/18","White British","7"
"2015/16-2017/18","White other","!"
"2015/16-2017/18","Other","10"
"2016/17-2018/19","All","6"
"2016/17-2018/19","Asian","9"
"2016/17-2018/19","Bangladeshi","25"
"2016/17-2018/19","Chinese","!"
"2016/17-2018/19","Indian","4"
"2016/17-2018/19","Pakistani","20"
"2016/17-2018/19","Asian other","!"
"2016/17-2018/19","Black","14"
"2016/17-2018/19","Mixed","10"
"2016/17-2018/19","White","7"
"2016/17-2018/19","White British","7"
"2016/17-2018/19","White other","!"
"2016/17-2018/19","Other","10"
"2017/18-2019/20","All","6"
"2017/18-2019/20","Asian","9"
"2017/18-2019/20","Bangladeshi","24"
"2017/18-2019/20","Chinese","!"
"2017/18-2019/20","Indian","4"
"2017/18-2019/20","Pakistani","17"
"2017/18-2019/20","Asian other","!"
"2017/18-2019/20","Black","12"
"2017/18-2019/20","Mixed","8"
"2017/18-2019/20","White","7"
"2017/18-2019/20","White British","7"
"2017/18-2019/20","White other","!"
"2017/18-2019/20","Other","10"
