"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","gender","fsm","denominator","numerator","lower_95_ci","upper_95_ci"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","All","All","612691","18324.383011999998","1.5649957883347099E-2","4.41661093087607E-2"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.7","All","FSM","104060","-74928.260292000006","-0.75464573332799401","-0.68545152386978903"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","Non-FSM","508631","93252.643303999997","0.16769169185039601","0.198989235202812"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.7","Boys","All","312239","-229414.85500800001","-0.75471395232549698","-0.71476843141259605"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-1.6","Boys","FSM","53122","-85293.699085","-1.6540413170533601","-1.55719693018886"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","Boys","Non-FSM","259117","-144121.15592300001","-0.57812578533909598","-0.53427637988356402"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.8","Girls","All","300452","247739.23801999999","0.80419436411991296","0.84491589655399602"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","Girls","FSM","50938","10365.438792999999","0.15404191406379","0.25294064485097401"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","Girls","Non-FSM","249514","237373.79922700001","0.92900198524503697","0.97368723641787502"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","N/A","Other","All","0","N/A","N/A","N/A"
"Key stage 2 average progress in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","N/A","Other","Non-FSM","0","N/A","N/A","N/A"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","All","All","65123","63382.941589000002","0.92954690886281399","1.01701395562435"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.7","All","FSM","10202","6962.5633440000001","0.57197635239479105","0.79296451096533305"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","All","Non-FSM","54921","56420.378245","0.97967810794240295","1.07492316461269"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.4","Boys","All","33224","11903.030360000001","0.29703722899468399","0.41949481771854502"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.1","Boys","FSM","5230","-414.379637","-0.23355434687642301","7.5091770585790807E-2"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.4","Boys","Non-FSM","27994","12317.409997000001","0.37329819913606699","0.50670537284365602"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.6","Girls","All","31899","51479.911228999998","1.5513534137359899","1.6763284088289301"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.5","Girls","FSM","4972","7376.9429810000001","1.3254209217309401","1.6419736804412199"
"Key stage 2 average progress in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.6","Girls","Non-FSM","26927","44102.968247999997","1.56985925346608","1.70588392237968"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.5","All","All","10176","15387.79465","1.4015302075981499","1.62280050191446"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.3","All","FSM","2338","2976.8330639999999","1.0424265735287299","1.50405166770309"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.6","All","Non-FSM","7838","12410.961585999999","1.45737424847146","1.70949525548366"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.9","Boys","All","5195","4794.3628090000002","0.76803819034610998","1.0777222751014399"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","Boys","FSM","1198","708.23330799999997","0.26873649655876303","0.913622949184139"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1","Boys","Non-FSM","3997","4086.1295009999999","0.84577069633813695","1.1988275028112301"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","2.1","Girls","All","4981","10593.431841","1.9686347643369599","2.2849014095237199"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","2","Girls","FSM","1140","2268.5997560000001","1.6594558140970399","2.3205437578327799"
"Key stage 2 average progress in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","2.2","Girls","Non-FSM","3841","8324.832085","1.9872830801581201","2.3474381304641101"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.1","All","All","17132","18651.618909000001","1.00343427094794","1.17396695587907"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","FSM","1175","738.32182499999999","0.30277524045215998","0.95394275954783603"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.1","All","Non-FSM","15957","17913.297084000002","1.0342481536294099","1.2109479463894199"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.5","Boys","All","8691","4228.6889330000004","0.36684502670901897","0.60627404658520101"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.4","Boys","FSM","592","-236.03076200000001","-0.85739223964104005","5.9991016668066902E-2"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","Boys","Non-FSM","8099","4464.7196949999998","0.42725537595705998","0.67528066429483202"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.7","Girls","All","8441","14422.929975999999","1.5872011223339899","1.8301498967396399"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.7","Girls","FSM","583","974.35258699999997","1.20905516412725","2.1334923041403302"
"Key stage 2 average progress in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.7","Girls","Non-FSM","7858","13448.577389","1.58555044039481","1.83735039671392"
"Key stage 2 average progress in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","All","27100","16315.947183","0.53426957215009596","0.66985937124475003"
"Key stage 2 average progress in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","FSM","5209","1283.780792","9.1820544598860396E-2","0.401088187211467"
