"Ethnicity","Local authority ","%","Pupils"
"All","Barking and Dagenham","79","2,759"
"All","Barnet","82","3,438"
"All","Barnsley","77","2,183"
"All","Bath and North East Somerset","82","1,493"
"All","Bedford","68","1,483"
"All","Bexley","84","2,809"
"All","Birmingham","76","12,364"
"All","Blackburn with Darwen","79","1,742"
"All","Blackpool","77","1,281"
"All","Bolton","80","3,148"
"All","Bournemouth, Christchurch and Poole","81","3,101"
"All","Bracknell Forest","79","1,124"
"All","Bradford","77","6,104"
"All","Brent","80","2,910"
"All","Brighton and Hove","81","2,185"
"All","Bristol, City of","78","3,803"
"All","Bromley","86","3,211"
"All","Buckinghamshire","78","4,890"
"All","Bury","78","1,861"
"All","Calderdale","76","2,078"
"All","Cambridgeshire","75","5,305"
"All","Camden","82","1,257"
"All","Central Bedfordshire","77","2,671"
"All","Cheshire East","79","3,347"
"All","Cheshire West and Chester","76","3,053"
"All","City of London","86","24"
"All","Cornwall","77","4,527"
"All","County Durham","80","4,597"
"All","Coventry","78","3,427"
"All","Croydon","79","3,687"
"All","Cumbria","81","4,220"
"All","Darlington","80","1,021"
"All","Derby","74","2,465"
"All","Derbyshire","79","6,859"
"All","Devon","76","6,043"
"All","Doncaster","78","2,937"
"All","Dorset","76","2,954"
"All","Dudley","76","2,960"
"All","Ealing","81","3,522"
"All","East Riding of Yorkshire","79","2,891"
"All","East Sussex","79","4,344"
"All","Enfield","80","3,695"
"All","Essex","80","13,314"
"All","Gateshead","81","1,704"
"All","Gloucestershire","78","5,326"
"All","Greenwich","83","2,792"
"All","Hackney","84","2,186"
"All","Halton","76","1,216"
"All","Hammersmith and Fulham","84","1,114"
"All","Hampshire","81","12,099"
"All","Haringey","81","2,497"
"All","Harrow","86","2,507"
"All","Hartlepool","81","952"
"All","Havering","84","2,528"
"All","Herefordshire, County of","81","1,516"
"All","Hertfordshire","79","11,355"
"All","Hillingdon","82","3,188"
"All","Hounslow","82","2,724"
"All","Isle of Wight","74","955"
"All","Isles of Scilly","74","14"
"All","Islington","82","1,556"
"All","Kensington and Chelsea","85","804"
"All","Kent","82","14,673"
"All","Kingston upon Hull, City of","79","2,546"
