"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","value_type","gender","fsm","denominator","numerator"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","All","All","644625","505451"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","All","FSM","108904","69157"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","All","Non-FSM","535721","436294"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","All","328895","238333"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","55","%","Boys","FSM","55753","30847"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","Boys","Non-FSM","273142","207486"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","85","%","Girls","All","315725","267118"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Girls","FSM","53151","38310"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","87","%","Girls","Non-FSM","262574","228808"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","%","Other","All","5","0"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","%","Other","Non-FSM","5","0"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","82","%","All","All","71548","58629"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","All","FSM","10965","8113"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","All","Non-FSM","60583","50516"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","Boys","All","36557","28215"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","68","%","Boys","FSM","5638","3811"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","Boys","Non-FSM","30919","24404"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","87","%","Girls","All","34991","30414"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","Girls","FSM","5327","4302"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","Girls","Non-FSM","29664","26112"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","All","All","11068","9199"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","FSM","2464","1956"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","All","Non-FSM","8604","7243"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","Boys","All","5667","4439"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","Boys","FSM","1265","925"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","Boys","Non-FSM","4402","3514"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","Girls","All","5401","4760"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","86","%","Girls","FSM","1199","1031"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","89","%","Girls","Non-FSM","4202","3729"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","87","%","All","All","19317","16777"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","All","FSM","1252","963"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","All","Non-FSM","18065","15814"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","Boys","All","9846","8162"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","71","%","Boys","FSM","626","444"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","Boys","Non-FSM","9220","7718"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","91","%","Girls","All","9471","8615"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","Girls","FSM","626","519"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","92","%","Girls","Non-FSM","8845","8096"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","All","All","29014","22554"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","71","%","All","FSM","5494","3926"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","All","Non-FSM","23520","18628"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","All","14844","10748"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","65","%","Boys","FSM","2836","1837"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","Boys","Non-FSM","12008","8911"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","Girls","All","14170","11806"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","Girls","FSM","2658","2089"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","Girls","Non-FSM","11512","9717"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","All","All","12149","10099"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","All","FSM","1755","1268"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","85","%","All","Non-FSM","10394","8831"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","Boys","All","6200","4866"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","66","%","Boys","FSM","911","605"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","Boys","Non-FSM","5289","4261"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","88","%","Girls","All","5949","5233"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","Girls","FSM","844","663"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","90","%","Girls","Non-FSM","5105","4570"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","All","All","38596","30210"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","71","%","All","FSM","10042","7180"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","All","Non-FSM","28554","23030"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","72","%","Boys","All","19300","13953"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","Boys","FSM","5132","3295"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","Boys","Non-FSM","14168","10658"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","Girls","All","19296","16257"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","79","%","Girls","FSM","4910","3885"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","86","%","Girls","Non-FSM","14386","12372"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","80","%","All","All","26204","21048"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","All","FSM","6441","4776"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","82","%","All","Non-FSM","19763","16272"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","Boys","All","13100","9858"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","68","%","Boys","FSM","3310","2245"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","Boys","Non-FSM","9790","7613"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","85","%","Girls","All","13104","11190"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","Girls","FSM","3131","2531"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","87","%","Girls","Non-FSM","9973","8659"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","73","%","All","All","7146","5208"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","65","%","All","FSM","2216","1434"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","All","Non-FSM","4930","3774"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","Boys","All","3512","2264"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","55","%","Boys","FSM","1123","613"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","69","%","Boys","Non-FSM","2389","1651"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","81","%","Girls","All","3634","2944"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","Girls","FSM","1093","821"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","84","%","Girls","Non-FSM","2541","2123"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","75","%","All","All","5246","3954"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","All","FSM","1385","970"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","77","%","All","Non-FSM","3861","2984"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","68","%","Boys","All","2688","1831"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","63","%","Boys","FSM","699","437"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","Boys","Non-FSM","1989","1394"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","83","%","Girls","All","2558","2123"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","Girls","FSM","686","533"
"Percentage of pupils reaching the key stage 2 expected standard in writing","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","85","%","Girls","Non-FSM","1872","1590"
