"Ethnicity","Main mode of transport","% 2002/06","% 2014/18"
"All","Bicycle","2","2"
"All","Car / Van","31","35"
"All","Local bus","13","12"
"All","Other","1","2"
"All","Private bus","5","4"
"All","Surface Rail","1","1"
"All","Walk","48","44"
"Asian","Bicycle","?","?"
"Asian","Car / Van","33","36"
"Asian","Local bus","12","12"
"Asian","Other","?","?"
"Asian","Private bus","?","?"
"Asian","Surface Rail","?","?"
"Asian","Walk","49","45"
"Black","Bicycle","?","?"
"Black","Car / Van","19","24"
"Black","Local bus","31","21"
"Black","Other","?","?"
"Black","Private bus","?","?"
"Black","Surface Rail","?","?"
"Black","Walk","45","48"
"Mixed","Bicycle","?","?"
"Mixed","Car / Van","29","27"
"Mixed","Local bus","17","14"
"Mixed","Other","?","?"
"Mixed","Private bus","?","?"
"Mixed","Surface Rail","?","?"
"Mixed","Walk","47","54"
"White","Bicycle","2","2"
"White","Car / Van","32","36"
"White","Local bus","12","11"
"White","Other","1","1"
"White","Private bus","5","4"
"White","Surface Rail","1","1"
"White","Walk","48","44"
"Other","Bicycle","?","?"
"Other","Car / Van","?","28"
"Other","Local bus","?","21"
"Other","Other","?","?"
"Other","Private bus","?","?"
"Other","Surface Rail","?","?"
"Other","Walk","51","45"
