"Ethnicity","Time","%","Participants"
"Asian","2002/03","2.1","3,510"
"Asian","2003/04","2.2","4,210"
"Asian","2004/05","2.5","4,660"
"Asian","2005/06","2.3","4,100"
"Asian","2006/07","2.5","4,680"
"Asian","2007/08","2.9","6,500"
"Asian","2008/09","3.9","9,450"
"Asian","2009/10","3.4","9,390"
"Asian","2010/11","4.2","19,270"
"Asian","2011/12","4.0","20,720"
"Asian","2012/13","3.9","19,690"
"Asian","2013/14","4.2","18,600"
"Asian","2014/15","4.3","21,510"
"Asian","2015/16","4.2","21,380"
"Asian","2016/17","4.4","22,000"
"Asian","2017/18","4.6","17,430"
"Black","2002/03","1.5","2,560"
"Black","2003/04","1.5","2,820"
"Black","2004/05","1.5","2,920"
"Black","2005/06","1.3","2,350"
"Black","2006/07","1.3","2,430"
"Black","2007/08","1.6","3,600"
"Black","2008/09","2.1","5,110"
"Black","2009/10","2.3","6,390"
"Black","2010/11","3.2","14,610"
"Black","2011/12","3.3","17,350"
"Black","2012/13","3.3","16,590"
"Black","2013/14","3.1","13,650"
"Black","2014/15","3.5","17,250"
"Black","2015/16","3.4","17,500"
"Black","2016/17","3.7","18,100"
"Black","2017/18","3.3","12,340"
"Mixed","2002/03","1.1","1,770"
"Mixed","2003/04","1.2","2,260"
"Mixed","2004/05","1.3","2,460"
"Mixed","2005/06","1.3","2,310"
"Mixed","2006/07","1.4","2,660"
"Mixed","2007/08","1.4","3,150"
"Mixed","2008/09","1.6","3,840"
"Mixed","2009/10","1.8","5,020"
"Mixed","2010/11","1.8","8,290"
"Mixed","2011/12","1.9","9,850"
"Mixed","2012/13","2.0","10,110"
"Mixed","2013/14","2.2","9,470"
"Mixed","2014/15","2.2","10,930"
"Mixed","2015/16","2.2","11,100"
"Mixed","2016/17","2.2","11,000"
"Mixed","2017/18","2.5","9,390"
"White","2002/03","93.8","157,270"
"White","2003/04","94.1","182,140"
"White","2004/05","93.4","176,450"
"White","2005/06","93.8","164,120"
"White","2006/07","93.5","172,470"
"White","2007/08","92.6","208,230"
"White","2008/09","90.8","217,890"
"White","2009/10","91.1","254,780"
"White","2010/11","89.0","407,050"
"White","2011/12","89.3","464,960"
"White","2012/13","89.3","455,440"
"White","2013/14","88.9","391,480"
"White","2014/15","88.5","442,340"
"White","2015/16","88.1","448,830"
"White","2016/17","87.7","434,200"
"White","2017/18","87.2","327,720"
"Other","2002/03","0.6","1,060"
"Other","2003/04","0.3","670"
"Other","2004/05","0.4","820"
"Other","2005/06","0.4","750"
"Other","2006/07","0.4","750"
"Other","2007/08","0.4","1,000"
"Other","2008/09","0.5","1,220"
"Other","2009/10","0.5","1,430"
"Other","2010/11","0.8","3,440"
"Other","2011/12","0.7","3,430"
"Other","2012/13","0.7","3,380"
"Other","2013/14","0.7","3,110"
"Other","2014/15","0.7","3,500"
"Other","2015/16","0.7","3,500"
"Other","2016/17","0.8","4,200"
"Other","2017/18","0.8","3,070"
"Unknown","2002/03","0.9","1,520"
"Unknown","2003/04","0.8","1,460"
"Unknown","2004/05","0.9","1,720"
"Unknown","2005/06","0.8","1,340"
"Unknown","2006/07","0.8","1,440"
"Unknown","2007/08","1.0","2,290"
"Unknown","2008/09","1.0","2,450"
"Unknown","2009/10","1.0","2,660"
"Unknown","2010/11","1.0","4,550"
"Unknown","2011/12","0.8","4,270"
"Unknown","2012/13","1.0","5,010"
"Unknown","2013/14","0.9","4,110"
"Unknown","2014/15","0.9","4,380"
"Unknown","2015/16","1.4","7,060"
"Unknown","2016/17","1.1","5,400"
"Unknown","2017/18","1.5","5,820"
