"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Value","Denominator"," Numerator ","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.1","167,700","3,510","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.5","167,700","2,560","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.1","167,700","1,770","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.9","167,700","1,520","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.6","167,700","1,060","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","93.8","167,700","157,270","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","193,600","4,210","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.5","193,600","2,820","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.2","193,600","2,260","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.8","193,600","1,460","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.3","193,600","670","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","94.1","193,600","182,140","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.5","189,000","4,660","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.5","189,000","2,920","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.3","189,000","2,460","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.9","189,000","1,720","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.4","189,000","820","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","93.4","189,000","176,450","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.3","175,000","4,100","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.3","175,000","2,350","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.3","175,000","2,310","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.8","175,000","1,340","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.4","175,000","750","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","93.8","175,000","164,120","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.5","184,400","4,680","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.3","184,400","2,430","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.4","184,400","2,660","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.8","184,400","1,440","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.4","184,400","750","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","93.5","184,400","172,470","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.9","224,800","6,500","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.6","224,800","3,600","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.4","224,800","3,150","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1","224,800","2,290","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.4","224,800","1,000","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","92.6","224,800","208,230","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.9","239,900","9,450","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.1","239,900","5,110","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.6","239,900","3,840","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1","239,900","2,450","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.5","239,900","1,220","","","",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","90.8","239,900","217,890","","","",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.4","279,700","9,390","","","",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.3","279,700","6,390","","","",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.8","279,700","5,020","","","",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1","279,700","2,660","","","",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","0.5","279,700","1,430","","","",""
