"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_Type","Geography_code","Age","Value","Value_type","Denominator"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Asian","ONS 2011 5+1","201718","Academic Year","England","Country","E92000001","16-18","10.6","%","24443"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Asian","ONS 2011 5+1","201819","Academic Year","England","Country","E92000001","16-18","10.4","%","25844"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Chinese","ONS 2011 5+1","201920","Academic Year","England","Country","E92000001","16-18","37","%","1345"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Indian","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","14.9","%","8358"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Indian","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","14.8","%","8514"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Unknown","ONS 2011 5+1","201920","Academic Year","England","Country","E92000001","16-18","36.2","%","36177"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Pakistani","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","7","%","7644"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Pakistani","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","6.8","%","8103"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Mixed White and Asian","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","26.2","%","2723"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Asian Other","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","11.3","%","4652"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Asian Other","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","11.4","%","4871"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Indian","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","25.8","%","8408"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Bangladeshi","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","7.4","%","3789"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Bangladeshi","ONS 2011 18+1","201819","Academic Year","England","Country","E92000001","16-18","7.5","%","4356"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","White Irish","ONS 2011 18+1","201920","Academic Year","England","Country","E92000001","16-18","24.4","%","809"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black","ONS 2011 5+1","201718","Academic Year","England","Country","E92000001","16-18","4.9","%","10581"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black","ONS 2011 5+1","201819","Academic Year","England","Country","E92000001","16-18","5.3","%","10825"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","All","All","201920","Academic Year","England","Country","E92000001","16-18","22.5","%","214818"
"Percentage of A level students aged 16 to 18 who got at least 3 A grades","Black Other","ONS 2011 18+1","201718","Academic Year","England","Country","E92000001","16-18","3.8","%","1157"
