"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Key stage 2 progress in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0","Numeric","18171.43","584315","0","0"
"Key stage 2 progress in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.7","Numeric","205398.4","297842","0.7","0.7"
"Key stage 2 progress in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.7","Numeric","-187226.97","286473","-0.7","-0.6"
"Key stage 2 progress in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","1.9","Numeric","117164.75","61551","1.9","1.9"
"Key stage 2 progress in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","2.7","Numeric","84486.97","31497","2.6","2.7"
"Key stage 2 progress in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.1","Numeric","32677.78","30054","1","1.1"
"Key stage 2 progress in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","2.8","Numeric","28001.03","10008","2.7","2.9"
"Key stage 2 progress in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","3.5","Numeric","18034.83","5161","3.3","3.6"
"Key stage 2 progress in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","2.1","Numeric","9966.2","4847","1.9","2.2"
"Key stage 2 progress in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","2","Numeric","19728.9","10001","1.9","2.1"
"Key stage 2 progress in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","2.9","Numeric","14568.53","5096","2.7","3"
"Key stage 2 progress in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.1","Numeric","5160.37","4905","0.9","1.2"
"Key stage 2 progress in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.3","Numeric","10381.31","33588","0.3","0.4"
"Key stage 2 progress in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.7","Numeric","11644.78","16808","0.6","0.8"
"Key stage 2 progress in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.1","Numeric","-1263.47","16780","-0.2","0"
"Key stage 2 progress in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.9","Numeric","19423.62","22391","0.8","0.9"
"Key stage 2 progress in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","1.3","Numeric","14598.41","11151","1.2","1.4"
"Key stage 2 progress in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.4","Numeric","4825.21","11240","0.3","0.5"
"Key stage 2 progress in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-1.3","Numeric","-9008.29","6886","-1.4","-1.2"
"Key stage 2 progress in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-1","Numeric","-3477.63","3466","-1.2","-0.8"
"Key stage 2 progress in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-1.6","Numeric","-5530.66","3420","-1.8","-1.4"
"Key stage 2 progress in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0","Numeric","-34.02","4311","-0.2","0.2"
"Key stage 2 progress in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.2","Numeric","524","2191","0","0.5"
"Key stage 2 progress in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.3","Numeric","-558.02","2120","-0.5","0"
"Key stage 2 progress in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","4.7","Numeric","10642.45","2275","4.5","4.9"
"Key stage 2 progress in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","5.3","Numeric","5933.5","1130","4.9","5.6"
"Key stage 2 progress in math by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","4.1","Numeric","4708.95","1145","3.8","4.4"
"Key stage 2 progress in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","2.6","Numeric","42198.41","16093","2.5","2.7"
"Key stage 2 progress in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","3.4","Numeric","28141.33","8291","3.3","3.5"
"Key stage 2 progress in math by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.8","Numeric","14057.08","7802","1.7","1.9"
"Key stage 2 progress in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0","Numeric","-708.87","33216","-0.1","0"
"Key stage 2 progress in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.6","Numeric","10112.91","16828","0.5","0.7"
"Key stage 2 progress in math by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","-0.7","Numeric","-10821.78","16388","-0.7","-0.6"
"Key stage 2 progress in math by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.6","Numeric","6781.53","11726","0.5","0.7"
