"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barking and Dagenham","Country","E09000002","All","10-11","80","%","2713","3411"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnet","Country","E09000003","All","10-11","83","%","3317","3978"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnsley","Country","E08000016","All","10-11","77","%","2089","2721"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bath and North East Somerset","Country","E06000022","All","10-11","75","%","1433","1899"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bedford","Country","E06000055","All","10-11","60","%","1223","2024"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bexley","Country","E09000004","All","10-11","79","%","2523","3183"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Birmingham","Country","E08000025","All","10-11","73","%","11376","15593"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackburn with Darwen","Country","E06000008","All","10-11","79","%","1720","2176"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackpool","Country","E06000009","All","10-11","76","%","1265","1654"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bolton","Country","E08000001","All","10-11","78","%","2930","3767"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bournemouth","Country","E06000028","All","10-11","78","%","1293","1654"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bracknell Forest","Country","E06000036","All","10-11","75","%","1025","1375"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bradford","Country","E08000032","All","10-11","74","%","5659","7658"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brent","Country","E09000005","All","10-11","78","%","2855","3644"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brighton and Hove","Country","E06000043","All","10-11","77","%","2018","2631"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bristol, City of","Country","E06000023","All","10-11","74","%","3452","4641"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bromley","Country","E09000006","All","10-11","83","%","3040","3653"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Buckinghamshire","Country","E10000002","All","10-11","76","%","4657","6119"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bury","Country","E08000002","All","10-11","76","%","1753","2297"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Calderdale","Country","E08000033","All","10-11","75","%","1968","2628"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cambridgeshire","Country","E10000003","All","10-11","73","%","4916","6769"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Camden","Country","E09000007","All","10-11","83","%","1249","1501"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Central Bedfordshire","Country","E06000056","All","10-11","73","%","2414","3293"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cheshire East","Country","E06000049","All","10-11","78","%","3134","4036"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cheshire West and Chester","Country","E06000050","All","10-11","75","%","2870","3808"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","City of London","Country","E09000001","All","10-11","90","%","26","29"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cornwall","Country","E06000052","All","10-11","72","%","4180","5779"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","County Durham","Country","E06000047","All","10-11","79","%","4373","5560"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Coventry","Country","E08000026","All","10-11","74","%","3086","4179"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Croydon","Country","E09000008","All","10-11","78","%","3486","4462"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cumbria","Country","E10000006","All","10-11","76","%","3876","5123"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Darlington","Country","E06000005","All","10-11","76","%","941","1231"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Derby","Country","E06000015","All","10-11","72","%","2309","3217"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Derbyshire","Country","E10000007","All","10-11","75","%","6145","8222"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Devon","Country","E10000008","All","10-11","75","%","5856","7792"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Doncaster","Country","E08000017","All","10-11","73","%","2552","3506"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Dorset","Country","E10000009","All","10-11","71","%","3091","4325"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Dudley","Country","E08000027","All","10-11","70","%","2560","3660"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Ealing","Country","E09000009","All","10-11","82","%","3367","4098"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","East Riding of Yorkshire","Country","E06000011","All","10-11","76","%","2693","3549"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","East Sussex","Country","E10000011","All","10-11","74","%","3932","5327"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Enfield","Country","E09000010","All","10-11","76","%","3370","4437"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Essex","Country","E10000012","All","10-11","76","%","12234","16114"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Gateshead","Country","E08000037","All","10-11","81","%","1688","2085"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Gloucestershire","Country","E10000013","All","10-11","74","%","4792","6464"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Greenwich","Country","E09000011","All","10-11","80","%","2598","3247"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hackney","Country","E09000012","All","10-11","79","%","1991","2516"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Halton","Country","E06000006","All","10-11","74","%","1090","1467"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hammersmith and Fulham","Country","E09000013","All","10-11","85","%","1137","1340"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hampshire","Country","E10000014","All","10-11","78","%","11305","14463"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Haringey","Country","E09000014","All","10-11","77","%","2363","3071"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Harrow","Country","E09000015","All","10-11","86","%","2357","2754"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hartlepool","Country","E06000001","All","10-11","78","%","883","1133"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Havering","Country","E09000016","All","10-11","82","%","2415","2961"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Herefordshire, County of","Country","E06000019","All","10-11","78","%","1464","1881"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hertfordshire","Country","E10000015","All","10-11","77","%","10497","13617"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hillingdon","Country","E09000017","All","10-11","78","%","2877","3665"
"Percentage of pupils reaching the key stage 2 expected standard in math by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hounslow","Country","E09000018","All","10-11","81","%","2396","2957"
