"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","76","%","468076","619573"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","238118","316720"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","76","%","229958","302853"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","81","%","54919","67871"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","81","%","28164","34826"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","81","%","26755","33045"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","85","%","9640","11377"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","84","%","4960","5890"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","85","%","4680","5487"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","81","%","8905","10963"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","81","%","4575","5624"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","81","%","4330","5339"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","27876","37375"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","73","%","13641","18786"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","77","%","14235","18589"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","78","%","19546","25215"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","76","%","9603","12611"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","79","%","9943","12604"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","66","%","4770","7218"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","63","%","2299","3649"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","69","%","2471","3569"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","72","%","3560","4942"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","69","%","1739","2526"
"% of pupils reaching the key stage 2 expected standard in math by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","75","%","1821","2416"
