"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Value_type","Denominator","Numerator"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","105","N/A","623531","65500973"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","102","N/A","101544","10348433"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","106","N/A","521987","55152540"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","105","N/A","315109","33195592"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","102","N/A","50819","5191062"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","106","N/A","264290","28004530"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","105","N/A","308419","32305101"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","102","N/A","50725","5157371"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","105","N/A","257694","27147730"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","All","93","N/A","3","280"
"Average scaled score in key stage 2 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","Non-FSM","93","N/A","3","280"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","107","N/A","69379","7405761"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","104","N/A","10421","1087591"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","107","N/A","58958","6318170"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","107","N/A","35175","3767891"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","105","N/A","5292","554208"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","108","N/A","29883","3213683"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","106","N/A","34204","3637870"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","104","N/A","5129","533383"
"Average scaled score in key stage 2 maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","107","N/A","29075","3104487"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","108","N/A","11772","1269175"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","105","N/A","1635","171986"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","108","N/A","10137","1097189"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","108","N/A","5969","645567"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","105","N/A","839","88464"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","109","N/A","5130","557103"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","107","N/A","5803","623608"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","105","N/A","796","83522"
"Average scaled score in key stage 2 maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","108","N/A","5007","540086"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","107","N/A","10647","1136456"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","106","N/A","2332","246519"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","107","N/A","8315","889937"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","107","N/A","5377","576127"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","106","N/A","1178","124851"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","107","N/A","4199","451276"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","106","N/A","5270","560329"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","105","N/A","1154","121668"
"Average scaled score in key stage 2 maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","107","N/A","4116","438661"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","105","N/A","37105","3888073"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","103","N/A","9428","974286"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","105","N/A","27677","2913787"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","105","N/A","18305","1916937"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","103","N/A","4703","485304"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","105","N/A","13602","1431633"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","105","N/A","18800","1971136"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","103","N/A","4725","488982"
"Average scaled score in key stage 2 maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","105","N/A","14075","1482154"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","106","N/A","25228","2661888"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","104","N/A","6061","631832"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","106","N/A","19167","2030056"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","106","N/A","12472","1316232"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","104","N/A","3054","318324"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","106","N/A","9418","997908"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","105","N/A","12756","1345656"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","104","N/A","3007","313508"
"Average scaled score in key stage 2 maths","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","106","N/A","9749","1032148"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","103","N/A","6850","703293"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","101","N/A","2072","209482"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","103","N/A","4778","493811"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","102","N/A","3303","337826"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","101","N/A","1019","102435"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","103","N/A","2284","235391"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","103","N/A","3547","365467"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","102","N/A","1053","107047"
"Average scaled score in key stage 2 maths","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","104","N/A","2494","258420"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","104","N/A","5027","522892"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","103","N/A","1295","132972"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","104","N/A","3732","389920"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","104","N/A","2530","262879"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","102","N/A","630","64545"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","104","N/A","1900","198334"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","104","N/A","2497","260013"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","103","N/A","665","68427"
"Average scaled score in key stage 2 maths","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","105","N/A","1832","191586"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","111","N/A","2782","309344"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","110","N/A","190","20917"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","111","N/A","2592","288427"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","112","N/A","1374","153408"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","111","N/A","91","10111"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","112","N/A","1283","143297"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","111","N/A","1408","155936"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","109","N/A","99","10806"
"Average scaled score in key stage 2 maths","Chinese","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","111","N/A","1309","145130"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","109","N/A","18901","2053745"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","105","N/A","1217","127482"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","109","N/A","17684","1926263"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","109","N/A","9580","1044148"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","105","N/A","603","63516"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","109","N/A","8977","980632"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","108","N/A","9321","1009597"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","104","N/A","614","63966"
"Average scaled score in key stage 2 maths","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","109","N/A","8707","945631"
"Average scaled score in key stage 2 maths","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","105","N/A","37160","3905244"
