"Ethnicity","%","Private renters ('000s)","All households ('000s)"
"All","20","4,606","23,160"
"Asian","","",""
"Bangladeshi","21","32","152"
"Chinese","45","50","111"
"Indian","19","103","550"
"Pakistani","29","105","358"
"Asian other","38","72","190"
"Black","","",""
"Black African","36","155","431"
"Black Caribbean","20","61","308"
"Black other","36","12","32"
"Mixed","","",""
"Mixed White/Asian","20","10","52"
"Mixed White/Black African","25","21","85"
"Mixed White/Black Caribbean","36","34","93"
"Mixed other","34","25","73"
"White","","",""
"White British","16","2,945","18,863"
"White Irish","21","44","213"
"White Gypsy/Traveller","?","?","?"
"White other","59","769","1,307"
"Other","","",""
"Arab","51","42","83"
"Any other","49","123","250"
