"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","All","All","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","56.8238418061954","%","191464","56.6045126016173","57.042756237325"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","57.911347811117","%","162120","57.673662410095","58.1485120245802"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","58.2982569924394","%","9595","57.3176769811995","59.2701155994291"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","47.5384682938222","%","7361","46.3963213584131","48.6800129264236"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","46.3748321729789","%","2583","44.4479073495216","48.3014695400461"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","57.203646808978","%","996","54.1278538290532","60.2030613297218"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","53.3139472312597","%","1888","51.064531876547","55.5394865388182"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","59.6892395208872","%","1385","57.0935452228677","62.2240231209921"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","All","All","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","57.4389762869121","%","188668","57.218324392825","57.6591944615931"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","58.4426716007636","%","157989","58.2021931511181","58.6826020979098"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","58.2805619024732","%","9909","57.3170131071602","59.2354169376039"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","48.8507316861078","%","7538","47.7220716110363","49.9776754486736"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","45.7226124073642","%","2687","43.8340448388014","47.6122957074409"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","51.0730932195621","%","988","47.9690983127267","54.1167186094926"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","56.0169030006277","%","1981","53.8212672253404","58.189579734789"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","57.0556652368693","%","1331","54.4094223133035","59.6372594854827"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","All","All","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","54.8191067618419","%","173597","54.5869157319488","55.0509343924032"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","55.9265868983504","%","146014","55.6740135315825","56.1786906556697"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","54.4788144281612","%","9405","53.4773694784313","55.4739864675728"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","46.9637151868287","%","6256","45.7270892693895","48.2026168518647"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","44.2076519452953","%","2250","42.1512582704652","46.2734387858722"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","50.3277999172202","%","855","46.9763634386882","53.647324919068"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","50.7480464920007","%","1908","48.5045535217231","52.9816404060734"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","16+ yrs","54.7087078038497","%","1202","51.8915614076631","57.4818585649854"
