"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","value_type","gender","fsm","denominator","numerator"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","76","%","All","All","12143","9214"
"Average scaled score in key stage 2 reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","103","N/A","All","All","6857","704524"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","74","%","All","All","26208","19432"
"Average scaled score in key stage 2 reading","Black Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","104","N/A","All","Non-FSM","3724","385836"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","21","%","All","Non-FSM","4931","1023"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Irish","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","61","%","All","FSM","291","178"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Gypsy/Roma","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","26","%","All","FSM","881","230"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Unknown","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","58","%","All","All","6476","3724"
"Percentage of pupils reaching the key stage 2 higher standard in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","27","%","All","All","644769","174286"
"Average scaled score in key stage 2 reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","105","N/A","All","Non-FSM","4001","421943"
"Percentage of pupils reaching the key stage 2 higher standard in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","37","%","All","Non-FSM","18066","6688"
"Average scaled score in key stage 2 reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","107","N/A","All","All","2762","296652"
"Percentage of pupils reaching the key stage 2 expected standard in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","70","%","All","Non-FSM","39661","27838"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Chinese","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","78","%","All","FSM","200","156"
"Average scaled score in key stage 2 reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","106","N/A","All","Non-FSM","10673","1130921"
"Percentage of pupils reaching the key stage 2 expected standard in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","64","%","All","FSM","2939","1879"
