"Time","Ethnicity","%","Number (thousands)"
"2017","All","88.9","46,714"
"2017","Bangladeshi","87.0","316"
"2017","Chinese","98.3","275"
"2017","Indian","90.6","1,094"
"2017","Pakistani","90.3","759"
"2017","Asian other","93.1","562"
"2017","Black","92.1","1,394"
"2017","Mixed","96.2","591"
"2017","White","88.4","40,885"
"2017","Other","94.1","838"
"2018","All","89.8","47,535"
"2018","Bangladeshi","90.7","320"
"2018","Chinese","97.6","303"
"2018","Indian","92.7","1,087"
"2018","Pakistani","92.8","779"
"2018","Asian other","96.4","576"
"2018","Black","91.2","1,352"
"2018","Mixed","97.9","510"
"2018","White","89.3","41,825"
"2018","Other","95.4","784"
"2019","All","90.8","48,098"
"2019","Bangladeshi","91.9","354"
"2019","Chinese","98.6","265"
"2019","Indian","90.4","1,077"
"2019","Pakistani","91.1","767"
"2019","Asian other","95.6","620"
"2019","Black","92.8","1,376"
"2019","Mixed","96.0","547"
"2019","White","90.5","42,296"
"2019","Other","94.5","796"
