"Ethnicity","Police force area","Rate per 1,000"
"All","All - including BTP and excluding Greater Manchester","11"
"All","Avon & Somerset","5"
"All","Bedfordshire","5"
"All","British Transport Police","N/A"
"All","Cambridgeshire","3"
"All","Cheshire","4"
"All","Cleveland","3"
"All","Cumbria","4"
"All","Derbyshire","2"
"All","Devon & Cornwall","3"
"All","Dorset","3"
"All","Durham","3"
"All","Dyfed-Powys","6"
"All","Essex","12"
"All","Gloucestershire","4"
"All","Greater Manchester","N/A"
"All","Gwent","5"
"All","Hampshire","5"
"All","Hertfordshire","7"
"All","Humberside","3"
"All","Kent","6"
"All","Lancashire","6"
"All","Leicestershire","4"
"All","Lincolnshire","4"
"All","London, City of","N/A"
"All","Merseyside","25"
"All","Metropolitan Police","34"
"All","Norfolk","6"
"All","North Wales","7"
"All","North Yorkshire","3"
"All","Northamptonshire","3"
"All","Northumbria","4"
"All","Nottinghamshire","5"
"All","South Wales","10"
"All","South Yorkshire","11"
"All","Staffordshire","5"
"All","Suffolk","5"
"All","Surrey","5"
"All","Sussex","5"
"All","Thames Valley","6"
"All","Warwickshire","3"
"All","West Mercia","4"
"All","West Midlands","8"
"All","West Yorkshire","6"
"All","Wiltshire","2"
"Asian","All - including BTP and excluding Greater Manchester","15"
"Asian","Avon & Somerset","4"
"Asian","Bedfordshire","6"
"Asian","British Transport Police","N/A"
"Asian","Cambridgeshire","3"
"Asian","Cheshire","2"
"Asian","Cleveland","4"
"Asian","Cumbria","4"
"Asian","Derbyshire","3"
"Asian","Devon & Cornwall","3"
"Asian","Dorset","2"
"Asian","Durham","4"
"Asian","Dyfed-Powys","6"
"Asian","Essex","14"
"Asian","Gloucestershire","3"
"Asian","Greater Manchester","N/A"
"Asian","Gwent","17"
"Asian","Hampshire","6"
"Asian","Hertfordshire","6"
"Asian","Humberside","4"
"Asian","Kent","4"
"Asian","Lancashire","9"
"Asian","Leicestershire","3"
"Asian","Lincolnshire","6"
"Asian","London, City of","N/A"
"Asian","Merseyside","14"
"Asian","Metropolitan Police","26"
"Asian","Norfolk","4"
"Asian","North Wales","5"
"Asian","North Yorkshire","5"
"Asian","Northamptonshire","4"
"Asian","Northumbria","5"
"Asian","Nottinghamshire","6"
"Asian","South Wales","16"
"Asian","South Yorkshire","13"
"Asian","Staffordshire","15"
"Asian","Suffolk","4"
"Asian","Surrey","7"
"Asian","Sussex","5"
"Asian","Thames Valley","8"
"Asian","Warwickshire","4"
"Asian","West Mercia","14"
"Asian","West Midlands","13"
"Asian","West Yorkshire","11"
"Asian","Wiltshire","4"
"Black","All - including BTP and excluding Greater Manchester","54"
"Black","Avon & Somerset","24"
"Black","Bedfordshire","10"
"Black","British Transport Police","N/A"
"Black","Cambridgeshire","17"
"Black","Cheshire","23"
"Black","Cleveland","13"
"Black","Cumbria","17"
"Black","Derbyshire","7"
"Black","Devon & Cornwall","31"
"Black","Dorset","48"
"Black","Durham","11"
"Black","Dyfed-Powys","22"
"Black","Essex","47"
"Black","Gloucestershire","21"
"Black","Greater Manchester","N/A"
"Black","Gwent","40"
"Black","Hampshire","39"
"Black","Hertfordshire","24"
"Black","Humberside","15"
"Black","Kent","36"
"Black","Lancashire","19"
"Black","Leicestershire","14"
"Black","Lincolnshire","34"
"Black","London, City of","N/A"
"Black","Merseyside","65"
"Black","Metropolitan Police","71"
"Black","Norfolk","48"
"Black","North Wales","13"
"Black","North Yorkshire","14"
"Black","Northamptonshire","18"
"Black","Northumbria","14"
"Black","Nottinghamshire","17"
"Black","South Wales","55"
"Black","South Yorkshire","22"
"Black","Staffordshire","34"
"Black","Suffolk","26"
"Black","Surrey","34"
"Black","Sussex","47"
"Black","Thames Valley","17"
"Black","Warwickshire","31"
"Black","West Mercia","41"
"Black","West Midlands","22"
"Black","West Yorkshire","15"
"Black","Wiltshire","16"
"Mixed","All - including BTP and excluding Greater Manchester","16"
"Mixed","Avon & Somerset","8"
"Mixed","Bedfordshire","10"
"Mixed","British Transport Police","N/A"
"Mixed","Cambridgeshire","4"
"Mixed","Cheshire","5"
"Mixed","Cleveland","6"
"Mixed","Cumbria","2"
"Mixed","Derbyshire","4"
"Mixed","Devon & Cornwall","4"
"Mixed","Dorset","6"
"Mixed","Durham","4"
"Mixed","Dyfed-Powys","8"
"Mixed","Essex","17"
"Mixed","Gloucestershire","14"
"Mixed","Greater Manchester","N/A"
"Mixed","Gwent","15"
"Mixed","Hampshire","9"
"Mixed","Hertfordshire","16"
"Mixed","Humberside","3"
"Mixed","Kent","9"
"Mixed","Lancashire","7"
"Mixed","Leicestershire","4"
"Mixed","Lincolnshire","8"
"Mixed","London, City of","N/A"
"Mixed","Merseyside","24"
"Mixed","Metropolitan Police","24"
"Mixed","Norfolk","10"
"Mixed","North Wales","8"
"Mixed","North Yorkshire","6"
"Mixed","Northamptonshire","6"
"Mixed","Northumbria","4"
"Mixed","Nottinghamshire","8"
"Mixed","South Wales","18"
"Mixed","South Yorkshire","12"
"Mixed","Staffordshire","13"
"Mixed","Suffolk","12"
"Mixed","Surrey","8"
"Mixed","Sussex","6"
"Mixed","Thames Valley","10"
"Mixed","Warwickshire","7"
"Mixed","West Mercia","8"
"Mixed","West Midlands","20"
"Mixed","West Yorkshire","9"
"Mixed","Wiltshire","4"
"White","All - including BTP and excluding Greater Manchester","6"
"White","Avon & Somerset","3"
"White","Bedfordshire","3"
"White","British Transport Police","N/A"
"White","Cambridgeshire","2"
"White","Cheshire","3"
"White","Cleveland","3"
"White","Cumbria","4"
"White","Derbyshire","1"
"White","Devon & Cornwall","3"
"White","Dorset","2"
"White","Durham","3"
"White","Dyfed-Powys","6"
"White","Essex","9"
"White","Gloucestershire","3"
"White","Greater Manchester","N/A"
"White","Gwent","4"
"White","Hampshire","4"
"White","Hertfordshire","5"
"White","Humberside","3"
"White","Kent","4"
"White","Lancashire","4"
"White","Leicestershire","3"
"White","Lincolnshire","4"
"White","London, City of","N/A"
"White","Merseyside","21"
"White","Metropolitan Police","18"
"White","Norfolk","5"
"White","North Wales","7"
"White","North Yorkshire","3"
"White","Northamptonshire","3"
"White","Northumbria","4"
"White","Nottinghamshire","3"
"White","South Wales","8"
"White","South Yorkshire","9"
"White","Staffordshire","4"
"White","Suffolk","4"
"White","Surrey","4"
"White","Sussex","4"
"White","Thames Valley","3"
"White","Warwickshire","2"
"White","West Mercia","3"
"White","West Midlands","5"
"White","West Yorkshire","4"
"White","Wiltshire","2"
"Other","All - including BTP and excluding Greater Manchester","18"
"Other","Avon & Somerset","7"
"Other","Bedfordshire","4"
"Other","British Transport Police","N/A"
"Other","Cambridgeshire","7"
"Other","Cheshire","7"
"Other","Cleveland","8"
"Other","Cumbria","0"
"Other","Derbyshire","0"
"Other","Devon & Cornwall","5"
"Other","Dorset","5"
"Other","Durham","14"
"Other","Dyfed-Powys","0"
"Other","Essex","9"
"Other","Gloucestershire","5"
"Other","Greater Manchester","N/A"
"Other","Gwent","15"
"Other","Hampshire","5"
"Other","Hertfordshire","16"
"Other","Humberside","3"
"Other","Kent","43"
"Other","Lancashire","7"
"Other","Leicestershire","2"
"Other","Lincolnshire","10"
"Other","London, City of","N/A"
"Other","Merseyside","19"
"Other","Metropolitan Police","27"
"Other","Norfolk","13"
"Other","North Wales","0"
"Other","North Yorkshire","5"
"Other","Northamptonshire","1"
"Other","Northumbria","1"
"Other","Nottinghamshire","8"
"Other","South Wales","11"
"Other","South Yorkshire","9"
"Other","Staffordshire","14"
"Other","Suffolk","33"
"Other","Surrey","6"
"Other","Sussex","9"
"Other","Thames Valley","4"
"Other","Warwickshire","8"
"Other","West Mercia","13"
"Other","West Midlands","1"
"Other","West Yorkshire","5"
"Other","Wiltshire","2"
