"Classification of first degree","Ethnicity","% of each ethnicity","Number of students"
"1st class honours","Asian","30.3","11,515"
"1st class honours","Black","19.1","4,340"
"1st class honours","Mixed","33.2","4,575"
"1st class honours","White","38.2","92,260"
"1st class honours","Other","27.9","1,415"
"Upper 2nd class honours","Asian","47.2","17,925"
"Upper 2nd class honours","Black","46.7","10,640"
"Upper 2nd class honours","Mixed","49.0","6,740"
"Upper 2nd class honours","White","47.6","114,885"
"Upper 2nd class honours","Other","47.2","2,385"
"Lower 2nd, 3rd or pass","Asian","22.4","8,520"
"Lower 2nd, 3rd or pass","Black","34.2","7,795"
"Lower 2nd, 3rd or pass","Mixed","17.8","2,450"
"Lower 2nd, 3rd or pass","White","14.1","34,100"
"Lower 2nd, 3rd or pass","Other","24.9","1,260"
"Unclassified","Asian","N/A","2,710"
"Unclassified","Black","N/A","750"
"Unclassified","Mixed","N/A","565"
"Unclassified","White","N/A","12,585"
"Unclassified","Other","N/A","290"
