"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Number of respondents"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","White","ONS 2011 5+1 ","England","79.5","78.4","80.5","9054"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Mixed","ONS 2011 5+1 ","England","79.1","70.3","85.8","171"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Asian","ONS 2011 5+1","England","66","59.2","72.2","394"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Black","ONS 2011 5+1","England","73.4","64.6","80.6","188"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Other","ONS 2011 5+1","England","?","?","?","22"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","All","ONS 2011 5+1","England","78.4","79.5","77.4","9,838"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","White","ONS 2011 5+1 ","England","78.5","77.4","79.5","9546"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Mixed","ONS 2011 5+1 ","England","82.9","72.6","89.9","142"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Asian","ONS 2011 5+1","England","65.2","57.5","72.2","404"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Black","ONS 2011 5+1","England","72.8","64.8","79.6","203"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Other","ONS 2011 5+1","England","74.9","59.8","85.6","49"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","All","ONS 2011 5+1","England","77.5","78.6","76.5","10,355"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","White","ONS 2011 5+1 ","England","77.9","76.6","79.1","9,050"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Mixed","ONS 2011 5+1 ","England","80","70","87.3","99"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Asian","ONS 2011 5+1","England","66.7","58.1","74.4","367"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Black","ONS 2011 5+1","England","66.7","58.1","74.3","239"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Other","ONS 2011 5+1","England","66.8","50.9","79.6","52"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","All","ONS 2011 5+1","England","76.8","78","75.6","9,817"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","White","ONS 2011 5+1","England","77.6","76.3","78.8","9,312"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Mixed","ONS 2011 5+1","England","81.8","72","88.8","119"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Asian","ONS 2011 5+1","England","59.3","52.6","65.6","434"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Black","ONS 2011 5+1","England","69.7","61.7","76.6","242"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Other","ONS 2011 5+1","England","72.3","58.8","82.7","55"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","All","ONS 2011 5+1","England","76.1","77.3","74.9","10,171"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","White","ONS 2011 5+1","England","78.5","77.1","79.8","8473"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Mixed","ONS 2011 5+1","England","81.4","72.4","87.9","170"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Asian","ONS 2011 5+1","England","66.8","60.3","72.7","423"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Black","ONS 2011 5+1","England","68.7","60.3","76.1","242"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","Other","ONS 2011 5+1","England","?","?","?","27"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","All","ONS 2011 5+1","England","77.4","78.8","76","9,352"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","White","ONS 2011 5+1","England","80.1","78.7","81.5","6854"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Mixed","ONS 2011 5+1","England","86.8","79.4","91.8","144"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Asian","ONS 2011 5+1","England","64.4","57.4","70.8","397"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Black","ONS 2011 5+1","England","74","66.2","80.5","203"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","Other","ONS 2011 5+1","England","72.5","59.1","82.8","79"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2017/18","Year","All","ONS 2011 5+1","England","78.9","80.4","77.4","7,715"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2005/06","Year","White","White & other","England","77","77.7","76.3","24,038"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2005/06","Year","Other","White & other","England","69.9","71.8","68","4,047"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2005/06","Year","All","White & other","England","76.3","77","75.6","28,117"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2006/07","Year","White","White & other","England","76.8","77.5","76","21,317"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2006/07","Year","Other","White & other","England","68.1","70.4","65.8","2,829"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2006/07","Year","All","White & other","England","75.9","76.7","75.2","24,174"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2007/08","Year","White","White & other","England","77.4","78.1","76.7","22,794"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2007/08","Year","Other","White & other","England","71.2","73.3","69","2,880"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2007/08","Year","All","White & other","England","76.8","77.5","76.1","25,720"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2008/09","Year","White","White & other","England","76.6","77.7","75.5","12,979"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2008/09","Year","Other","White & other","England","67.4","70.7","64.2","1,451"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2008/09","Year","All","White & other","England","75.7","76.7","74.7","14,452"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2009/10","Year","White","White & other","England","77","79","75","5,455"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2009/10","Year","Other","White & other","England","65.8","72.8","58.8","630"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2009/10","Year","All","White & other","England","75.7","77.7","73.7","6,097"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2010/11","Year","White","White & other","England","77.4","78.3","76.5","12,617"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2010/11","Year","Other","White & other","England","66.9","69.9","63.9","1,457"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2010/11","Year","All","White & other","England","76.2","77.1","75.4","14,102"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2011/12","Year","White","White & other","England","79.1","80.2","78","8,301"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2011/12","Year","Other","White & other","England","70.5","75","65.9","871"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2011/12","Year","All","White & other","England","78.2","79.2","77.1","9,188"
