"Ethnicity","Time","Section 1","Section 44/47A","Section 60"
"All","2009/10","1,169,012","102,428","119,639"
"All","2010/11","1,220,248","9,722","62,344"
"All","2011/12","1,136,117","0","46,882"
"All","2012/13","1,004,757","0","5,340"
"All","2013/14","893,267","0","3,896"
"All","2014/15","534,614","0","1,055"
"All","2015/16","380,940","0","965"
"All","2016/17","298,600","0","628"
"All","2017/18","274,754","130","2,494"
"All","2018/19","362,505","0","13,083"
"Asian","2009/10","111,192","17,295","19,137"
"Asian","2010/11","125,828","1,787","12,420"
"Asian","2011/12","115,842","0","7,831"
"Asian","2012/13","91,709","0","539"
"Asian","2013/14","73,243","0","361"
"Asian","2014/15","42,214","0","82"
"Asian","2015/16","35,513","0","88"
"Asian","2016/17","29,010","0","25"
"Asian","2017/18","28,504","16","272"
"Asian","2018/19","39,645","0","1,827"
"Black","2009/10","169,573","10,164","39,364"
"Black","2010/11","185,806","964","23,283"
"Black","2011/12","161,058","0","16,791"
"Black","2012/13","119,998","0","1,921"
"Black","2013/14","100,907","0","1,126"
"Black","2014/15","63,532","0","172"
"Black","2015/16","58,217","0","209"
"Black","2016/17","54,881","0","169"
"Black","2017/18","53,427","7","955"
"Black","2018/19","65,790","0","4,858"
"Mixed","2009/10","35,114","2,307","5,228"
"Mixed","2010/11","34,542","225","2,772"
"Mixed","2011/12","32,831","0","2,245"
"Mixed","2012/13","28,463","0","227"
"Mixed","2013/14","24,355","0","186"
"Mixed","2014/15","15,313","0","39"
"Mixed","2015/16","12,374","0","16"
"Mixed","2016/17","10,484","0","16"
"Mixed","2017/18","10,338","4","127"
"Mixed","2018/19","12,372","0","642"
"White","2009/10","785,691","60,608","47,879"
"White","2010/11","806,568","5,550","19,571"
"White","2011/12","763,246","0","16,238"
"White","2012/13","706,081","0","2,187"
"White","2013/14","638,832","0","1,846"
"White","2014/15","375,059","0","661"
"White","2015/16","225,900","0","547"
"White","2016/17","169,167","0","309"
"White","2017/18","146,660","45","619"
"White","2018/19","185,092","0","2,669"
"Other","2009/10","14,268","4,435","1,426"
"Other","2010/11","16,898","473","1,032"
"Other","2011/12","14,830","0","763"
"Other","2012/13","12,245","0","79"
"Other","2013/14","11,558","0","51"
"Other","2014/15","7,361","0","13"
"Other","2015/16","5,465","0","11"
"Other","2016/17","4,379","0","7"
"Other","2017/18","4,624","1","36"
"Other","2018/19","6,243","0","214"
"Unknown","2009/10","53,174","7,619","6,605"
"Unknown","2010/11","50,606","723","3,266"
"Unknown","2011/12","48,310","0","3,014"
"Unknown","2012/13","46,261","0","387"
"Unknown","2013/14","44,372","0","326"
"Unknown","2014/15","31,135","0","88"
"Unknown","2015/16","29,473","0","94"
"Unknown","2016/17","30,679","0","102"
"Unknown","2017/18","31,201","57","485"
"Unknown","2018/19","53,363","0","2,873"
