"","All","","Asian","","Black","","Mixed","","White","","Other inc Chinese","","Unknown",""
"Time","Arrest rate","Number of arrests","Arrest rate","Number of arrests","Arrest rate","Number of arrests","Arrest rate","Number of arrests","Arrest rate","Number of arrests","Arrest rate","Number of arrests","Arrest rate","Number of arrests"
"2006/07","26","1,474,843","18","69,591","56","105,145","43","40,882","24","1,133,468","16","19,408","N/A","106,349"
"2007/08","26","1,475,266","20","74,755","59","109,206","43","40,726","24","1,170,527","17","21,103","N/A","58,949"
"2008/09","26","1,462,139","21","78,422","60","111,271","42","40,256","24","1,178,536","17","20,931","N/A","32,723"
"2009/10","25","1,385,322","20","78,124","60","110,977","42","40,133","23","1,103,206","17","20,249","N/A","32,633"
"2010/11","24","1,353,740","21","79,540","61","113,085","43","40,779","22","1,075,562","16","19,556","N/A","25,218"
"2011/12","22","1,225,123","19","72,361","55","102,326","39","37,516","20","972,938","14","17,289","N/A","22,693"
"2012/13","19","1,068,823","17","65,277","47","88,540","34","32,587","18","844,957","13","15,398","N/A","22,064"
"2013/14","18","1,024,969","17","64,376","46","86,337","33","31,223","17","803,069","12","14,737","N/A","25,227"
"2014/15","17","947,658","16","60,737","45","83,519","31","29,631","15","735,879","11","13,928","N/A","23,964"
"2015/16","16","886,342","15","59,183","44","82,072","30","28,667","14","655,279","12","14,301","N/A","46,840"
"2016/17","14","781,250","14","51,850","39","71,937","27","25,383","12","569,207","10","12,155","N/A","50,718"
