"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barking and Dagenham","Country","E09000002","All","10-11","83","%","2824","3411"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnet","Country","E09000003","All","10-11","85","%","3384","3978"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnsley","Country","E08000016","All","10-11","77","%","2093","2721"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bath and North East Somerset","Country","E06000022","All","10-11","78","%","1478","1899"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bedford","Country","E06000055","All","10-11","71","%","1436","2024"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bexley","Country","E09000004","All","10-11","82","%","2609","3183"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Birmingham","Country","E08000025","All","10-11","77","%","12070","15592"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackburn with Darwen","Country","E06000008","All","10-11","81","%","1761","2176"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackpool","Country","E06000009","All","10-11","76","%","1260","1654"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bolton","Country","E08000001","All","10-11","80","%","3004","3767"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bournemouth","Country","E06000028","All","10-11","78","%","1298","1654"
"Percentage of pupils reaching the key stage 2 expected standard in GPS by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bracknell Forest","Country","E06000036","All","10-11","77","%","1062","1375"
