"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","78","%","481086","619654",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","73","%","232268","316757",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","82","%","248818","302897",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","84","%","57120","67875",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","81","%","28281","34826",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","87","%","28839","33049",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","86","%","9792","11378",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","83","%","4918","5890",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","89","%","4874","5488",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","85","%","9372","10965",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","83","%","4664","5624",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","88","%","4708","5341",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","81","%","30297","37388",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","77","%","14408","18794",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","85","%","15889","18594",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","83","%","21038","25222",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","80","%","10059","12612",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","87","%","10979","12610",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","74","%","5362","7218",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Boys","68","%","2488","3650",""
"% of pupils reaching the key stage 2 expected standard in GPS by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","Girls","81","%","2874","3568",""
