"Ethnicity","Local Authority ","%","Number"
"All","Barking and Dagenham","83","2,824"
"All","Barnet","85","3,384"
"All","Barnsley","77","2,093"
"All","Bath and North East Somerset","78","1,478"
"All","Bedford","71","1,436"
"All","Bexley","82","2,609"
"All","Birmingham","77","12,070"
"All","Blackburn with Darwen","81","1,761"
"All","Blackpool","76","1,260"
"All","Bolton","80","3,004"
"All","Bournemouth","78","1,298"
"All","Bracknell Forest","77","1,062"
"All","Bradford","77","5,866"
"All","Brent","80","2,929"
"All","Brighton and Hove","78","2,048"
"All","Bristol, City of","75","3,498"
"All","Bromley","84","3,076"
"All","Buckinghamshire","79","4,853"
"All","Bury","79","1,812"
"All","Calderdale","76","2,005"
"All","Cambridgeshire","75","5,109"
"All","Camden","85","1,272"
"All","Central Bedfordshire","74","2,445"
"All","Cheshire East","82","3,311"
"All","Cheshire West and Chester","79","2,994"
"All","City of London","86","25"
"All","Cornwall","73","4,228"
"All","County Durham","80","4,437"
"All","Coventry","79","3,322"
"All","Croydon","81","3,593"
"All","Cumbria","78","3,987"
"All","Darlington","80","982"
"All","Derby","75","2,399"
"All","Derbyshire","77","6,332"
"All","Devon","76","5,951"
"All","Doncaster","75","2,613"
"All","Dorset","75","3,243"
"All","Dudley","73","2,676"
"All","Ealing","85","3,467"
"All","East Riding of Yorkshire","79","2,802"
"All","East Sussex","74","3,951"
"All","Enfield","79","3,509"
"All","Essex","78","12,622"
"All","Gateshead","84","1,761"
"All","Gloucestershire","77","4,966"
"All","Greenwich","83","2,690"
"All","Hackney","84","2,108"
"All","Halton","75","1,097"
"All","Hammersmith and Fulham","86","1,126"
"All","Hampshire","79","11,399"
"All","Haringey","82","2,506"
"All","Harrow","88","2,412"
"All","Hartlepool","79","892"
"All","Havering","82","2,439"
"All","Herefordshire, County of","79","1,492"
"All","Hertfordshire","80","10,939"
"All","Hillingdon","83","3,044"
"All","Hounslow","84","2,486"
"All","Isle of Wight","70","921"
"All","Isles of Scilly","82","28"
"All","Islington","81","1,505"
"All","Kensington and Chelsea","89","851"
"All","Kent","76","13,153"
"All","Kingston upon Hull, City of","78","2,422"
"All","Kingston upon Thames","84","1,505"
"All","Kirklees","76","4,007"
"All","Knowsley","75","1,290"
"All","Lambeth","84","2,479"
"All","Lancashire","78","10,679"
"All","Leeds","75","6,706"
"All","Leicester","77","3,432"
"All","Leicestershire","79","5,965"
"All","Lewisham","81","2,733"
"All","Lincolnshire","74","5,709"
"All","Liverpool","75","3,710"
"All","Luton","77","2,393"
"All","Manchester","78","5,127"
"All","Medway","72","2,361"
"All","Merton","84","1,943"
"All","Middlesbrough","77","1,378"
"All","Milton Keynes","79","2,797"
"All","Newcastle upon Tyne","81","2,242"
"All","Newham","88","4,027"
"All","Norfolk","71","6,211"
"All","North East Lincolnshire","76","1,441"
"All","North Lincolnshire","77","1,501"
"All","North Somerset","74","1,774"
"All","North Tyneside","79","1,750"
"All","North Yorkshire","74","4,340"
"All","Northamptonshire","75","6,743"
"All","Northumberland","79","2,636"
"All","Nottingham","77","2,653"
"All","Nottinghamshire","78","7,059"
"All","Oldham","79","2,648"
"All","Oxfordshire","77","5,432"
"All","Peterborough","71","1,964"
"All","Plymouth","75","2,174"
"All","Poole","74","1,042"
"All","Portsmouth","72","1,546"
"All","Reading","77","1,254"
"All","Redbridge","84","3,277"
"All","Redcar and Cleveland","82","1,296"
"All","Richmond upon Thames","90","1,922"
"All","Rochdale","79","2,287"
"All","Rotherham","74","2,415"
"All","Rutland","82","322"
"All","Salford","80","2,272"
"All","Sandwell","78","3,367"
"All","Sefton","81","2,356"
"All","Sheffield","74","4,511"
"All","Shropshire","78","2,291"
"All","Slough","81","1,834"
"All","Solihull","80","2,119"
"All","Somerset","74","4,137"
"All","South Gloucestershire","79","2,452"
"All","South Tyneside","80","1,297"
"All","Southampton","77","1,995"
"All","Southend-on-Sea","81","1,693"
"All","Southwark","81","2,570"
"All","St. Helens","78","1,595"
"All","Staffordshire","78","7,375"
"All","Stockport","80","2,665"
"All","Stockton-on-Tees","80","1,922"
"All","Stoke-on-Trent","74","2,274"
"All","Suffolk","72","5,581"
"All","Sunderland","80","2,541"
"All","Surrey","82","9,923"
