"Ethnicity","Region","%","Private renters ('000s)","All households ('000s)"
"White British","East","14","303","2,186"
"White British","East Midlands","14","237","1,688"
"White British","London","20","331","1,660"
"White British","North East","15","167","1,090"
"White British","North West","16","444","2,757"
"White British","South East","15","477","3,244"
"White British","South West","16","369","2,269"
"White British","West Midlands","14","273","1,978"
"White British","Yorkshire and the Humber","17","342","1,992"
"Other than White British","East","40","148","367"
"Other than White British","East Midlands","41","117","289"
"Other than White British","London","38","683","1,778"
"Other than White British","North East","31","21","68"
"Other than White British","North West","36","137","384"
"Other than White British","South East","44","231","522"
"Other than White British","South West","48","85","175"
"Other than White British","West Midlands","32","131","415"
"Other than White British","Yorkshire and the Humber","36","108","299"
