"","White British","","","Other than White British","",""
"Region","%","Private renters ('000s)","All households ('000s)","%","Private renters ('000s)","All households ('000s)"
"East","14","303","2,186","40","148","367"
"East Midlands","14","237","1,688","41","117","289"
"London","20","331","1,660","38","683","1,778"
"North East","15","167","1,090","31","21","68"
"North West","16","444","2,757","36","137","384"
"South East","15","477","3,244","44","231","522"
"South West","16","369","2,269","48","85","175"
"West Midlands","14","273","1,978","32","131","415"
"Yorkshire and the Humber","17","342","1,992","36","108","299"
