"Time","Ethnicity","%","Number of respondents"
"2016-17","All","27","10,014"
"2016-17","Asian","37","1,086"
"2016-17","Black","44","349"
"2016-17","Mixed","37","446"
"2016-17","White","25","7,854"
"2016-17","Other","34","158"
"2017-18","All","26","9,994"
"2017-18","Asian","34","903"
"2017-18","Black","43","348"
"2017-18","Mixed","34","494"
"2017-18","White","24","7,943"
"2017-18","Other","40","120"
"2018-19","All","25","10,417"
"2018-19","Asian","32","887"
"2018-19","Black","48","337"
"2018-19","Mixed","35","486"
"2018-19","White","24","8,412"
"2018-19","Other","30","121"
"2019-20","All","27","10,065"
"2019-20","Asian","35","780"
"2019-20","Black","45","389"
"2019-20","Mixed","33","449"
"2019-20","White","25","7,936"
"2019-20","Other","44","118"
