"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","60","78"
"Asian","69","78"
"Bangladeshi","72","76"
"Indian","75","83"
"Pakistani","68","73"
"Asian other","67","79"
"Black","71","78"
"Black African","74","79"
"Black Caribbean","65","75"
"Black other","67","75"
"Chinese","82","85"
"Mixed","66","80"
"Mixed White/Asian","68","84"
"Mixed White/Black African","70","79"
"Mixed White/Black Caribbean","62","76"
"Mixed other","66","81"
"White","58","78"
"White British","58","79"
"White Irish","56","84"
"Gypsy/Roma","27","31"
"Irish Traveller","31","41"
"White other","59","71"
"Other","60","70"
"Unknown","55","56"
