"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016-17","Year","All","5+1","England","81","9,963"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016-17","Year","Asian","5+1","England","85","1,095"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016-17","Year","Black","5+1","England","77","354"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016-17","Year","Mixed","5+1","England","80","460"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016-17","Year","White","5+1","England","81","7,774"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2016-17","Year","Other","5+1","England","81","159"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017-18","Year","All","5+1","England","82","9,551"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017-18","Year","Asian","5+1","England","84","906"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017-18","Year","Black","5+1","England","78","330"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017-18","Year","Mixed","5+1","England","82","460"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017-18","Year","White","5+1","England","83","7,572"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2017-18","Year","Other","5+1","England","78","120"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2018-19","Year","All","5+1","England","81","10,344"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2018-19","Year","Asian","5+1","England","86","901"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2018-19","Year","Black","5+1","England","86","335"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2018-19","Year","Mixed","5+1","England","83","484"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2018-19","Year","White","5+1","England","81","8,327"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2018-19","Year","Other","5+1","England","78","121"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2019-20","Year","All","5+1","England","82","10060"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2019-20","Year","Asian","5+1","England","86","791"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2019-20","Year","Black","5+1","England","84","394"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2019-20","Year","Mixed","5+1","England","85","460"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2019-20","Year","White","5+1","England","81","7897"
"Agreeing that their local area is a place where people from different backgrounds  get on well together","2019-20","Year","Other","5+1","England","75","118"
