"Time","Ethnicity","Percentage","Number of respondents"
"2016-17","All","81","9,963"
"2016-17","Asian","85","1,095"
"2016-17","Black","77","354"
"2016-17","Mixed","80","460"
"2016-17","White","81","7,774"
"2016-17","Other","81","159"
"2017-18","All","82","9,551"
"2017-18","Asian","84","906"
"2017-18","Black","78","330"
"2017-18","Mixed","82","460"
"2017-18","White","83","7,572"
"2017-18","Other","78","120"
"2018-19","All","81","10,344"
"2018-19","Asian","86","901"
"2018-19","Black","86","335"
"2018-19","Mixed","83","484"
"2018-19","White","81","8,327"
"2018-19","Other","78","121"
"2019-20","All","82","10,060"
"2019-20","Asian","86","791"
"2019-20","Black","84","394"
"2019-20","Mixed","85","460"
"2019-20","White","81","7,897"
"2019-20","Other","75","118"
