"Ethnicity","Highest qualification held",""
"All","All","13%"
"All","Level 4 and above","8%"
"All","Level 3","11%"
"All","Level 2","15%"
"All","Below Level 2","18%"
"All","Other qualifications","12%"
"All","No qualifications","39%"
"Asian","All","12%"
"Asian","Level 4 and above","5%"
"Asian","Level 3","9%"
"Asian","Level 2","19%"
"Asian","Below Level 2","18%"
"Asian","Other qualifications","14%"
"Asian","No qualifications","28%"
"Black","All","15%"
"Black","Level 4 and above","8%"
"Black","Level 3","10%"
"Black","Level 2","20%"
"Black","Below Level 2","19%"
"Black","Other qualifications","15%"
"Black","No qualifications","38%"
"Mixed","All","15%"
"Mixed","Level 4 and above","4%"
"Mixed","Level 3","13%"
"Mixed","Level 2","29%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","13%"
"White","Level 4 and above","8%"
"White","Level 3","11%"
"White","Level 2","14%"
"White","Below Level 2","17%"
"White","Other qualifications","11%"
"White","No qualifications","40%"
"Other","All","15%"
"Other","Level 4 and above","7%"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","13%"
"Other","No qualifications","36%"
