"Ethnicity","Trust type","%"
"All","England","8"
"All","Acute","8"
"All","Acute Specialist","7"
"All","Ambulance","10"
"All","Combined Acute & Community","7"
"All","Combined Mental Health / Learning Disability & Community","7"
"All","Community","5"
"All","Mental Health / Learning Disability","8"
"Other","England","15"
"Other","Acute","15"
"Other","Acute Specialist","14"
"Other","Ambulance","16"
"Other","Combined Acute & Community","15"
"Other","Combined Mental Health / Learning Disability & Community","14"
"Other","Community","13"
"Other","Mental Health / Learning Disability","15"
"White","England","6"
"White","Acute","6"
"White","Acute Specialist","6"
"White","Ambulance","10"
"White","Combined Acute & Community","6"
"White","Combined Mental Health / Learning Disability & Community","5"
"White","Community","4"
"White","Mental Health / Learning Disability","6"
