"Variable","Ethnicity","Female","Male"
"Professionally qualified non-medical","Average (mean) monthly basic pay per FTE (£)","",""
"Professionally qualified non-medical","All","2,709.00","2,759.00"
"Professionally qualified non-medical","Asian","2,540.00","2,634.00"
"Professionally qualified non-medical","Black","2,538.00","2,592.00"
"Professionally qualified non-medical","Mixed","2,575.00","2,672.00"
"Professionally qualified non-medical","White","2,748.00","2,799.00"
"Professionally qualified non-medical","Other","2,624.00","2,734.00"
"Professionally qualified non-medical","Unknown","2,624.00","2,698.00"
"Professionally qualified non-medical","Average pay for every £1 paid to White staff","",""
"Professionally qualified non-medical","All -","n/a","n/a"
"Professionally qualified non-medical","Asian -","0.92","0.94"
"Professionally qualified non-medical","Black -","0.92","0.93"
"Professionally qualified non-medical","Mixed -","0.94","0.95"
"Professionally qualified non-medical","White -","n/a","n/a"
"Professionally qualified non-medical","Other -","0.95","0.98"
"Professionally qualified non-medical","Unknown -","0.95","0.96"
"Support to clinical staff","Average (mean) monthly basic pay per FTE (£)","",""
"Support to clinical staff","All","1,603.00","1,603.00"
"Support to clinical staff","Asian","1,551.00","1,556.00"
"Support to clinical staff","Black","1,565.00","1,553.00"
"Support to clinical staff","Mixed","1,566.00","1,585.00"
"Support to clinical staff","White","1,610.00","1,615.00"
"Support to clinical staff","Other","1,548.00","1,561.00"
"Support to clinical staff","Unknown","1,602.00","1,646.00"
"Support to clinical staff","Average pay for every £1 paid to White staff","",""
"Support to clinical staff","All -","n/a","n/a"
"Support to clinical staff","Asian -","0.96","0.96"
"Support to clinical staff","Black -","0.97","0.96"
"Support to clinical staff","Mixed -","0.97","0.98"
"Support to clinical staff","White -","n/a","n/a"
"Support to clinical staff","Other -","0.96","0.97"
"Support to clinical staff","Unknown -","1.00","1.02"
"Managers and senior managers","Average (mean) monthly basic pay per FTE (£)","",""
"Managers and senior managers","All","4,679.00","5,198.00"
"Managers and senior managers","Asian","4,241.00","4,790.00"
"Managers and senior managers","Black","4,218.00","4,187.00"
"Managers and senior managers","Mixed","4,341.00","4,772.00"
"Managers and senior managers","White","4,698.00","5,218.00"
"Managers and senior managers","Other","4,415.00","4,579.00"
"Managers and senior managers","Unknown","5,111.00","5,903.00"
"Managers and senior managers","Average pay for every £1 paid to White staff","",""
"Managers and senior managers","All -","n/a","n/a"
"Managers and senior managers","Asian -","0.90","0.92"
"Managers and senior managers","Black -","0.90","0.80"
"Managers and senior managers","Mixed -","0.92","0.91"
"Managers and senior managers","White -","n/a","n/a"
"Managers and senior managers","Other -","0.94","0.88"
"Managers and senior managers","Unknown -","1.09","1.13"
"Infrastructure support","Average (mean) monthly basic pay per FTE (£)","",""
"Infrastructure support","All","1,908.00","2,064.00"
"Infrastructure support","Asian","1,912.00","2,025.00"
"Infrastructure support","Black","1,861.00","1,875.00"
"Infrastructure support","Mixed","1,950.00","1,984.00"
"Infrastructure support","White","1,909.00","2,080.00"
"Infrastructure support","Other","1,823.00","1,807.00"
"Infrastructure support","Unknown","1,933.00","2,171.00"
"Infrastructure support","Average pay for every £1 paid to White staff","",""
"Infrastructure support","All -","n/a","n/a"
"Infrastructure support","Asian -","1.00","0.97"
"Infrastructure support","Black -","0.97","0.90"
"Infrastructure support","Mixed -","1.02","0.95"
"Infrastructure support","White -","n/a","n/a"
"Infrastructure support","Other -","0.95","0.87"
"Infrastructure support","Unknown -","1.01","1.04"
