"Gender","Ethnicity","Average pay (2016)","Average pay for every £1 paid to White staff (2016)","Average pay (2020)","Average pay for every £1 paid to White staff (2020)"
"All staff","All","£5,238","N/A","£5,674","N/A"
"All staff","Asian","£5,130","£0.95","£5,607","£0.94"
"All staff","Black","£4,798","£0.89","£4,784","£0.80"
"All staff","Mixed","£4,490","£0.83","£5,014","£0.84"
"All staff","White","£5,421","N/A","£5,956","N/A"
"All staff","Other","£5,189","£0.96","£5,408","£0.91"
"All staff","Unknown","£4,822","£0.89","£5,142","£0.86"
"Male staff","All","£5,638","N/A","£5,995","N/A"
"Male staff","Asian","£5,498","£0.94","£5,957","£0.94"
"Male staff","Black","£5,243","£0.89","£5,041","£0.80"
"Male staff","Mixed","£4,844","£0.82","£5,228","£0.83"
"Male staff","White","£5,876","N/A","£6,329","N/A"
"Male staff","Other","£5,495","£0.94","£5,670","£0.90"
"Male staff","Unknown","£5,168","£0.88","£5,392","£0.85"
"Female staff","All","£4,738","N/A","£5,291","N/A"
"Female staff","Asian","£4,551","£0.92","£5,102","£0.91"
"Female staff","Black","£4,214","£0.85","£4,465","£0.80"
"Female staff","Mixed","£4,082","£0.83","£4,740","£0.85"
"Female staff","White","£4,930","N/A","£5,580","N/A"
"Female staff","Other","£4,584","£0.93","£4,896","£0.88"
"Female staff","Unknown","£4,378","£0.89","£4,828","£0.87"
