"Ethnicity","Household type","%"
"White","All full-time students","0.4"
"White","Any other household type","4.1"
"White","Cohab, Dependent children","4.2"
"White","Cohab, no children","5.6"
"White","Cohab, non-dependent children","0.5"
"White","Lone parent, Dependent children","6.7"
"White","Lone parent, non-dependent children","3.5"
"White","Married, Dependent children","14.2"
"White","Married, no children","13.0"
"White","Married, non-dependent children","5.7"
"White","Other, All pensioners","0.3"
"White","Other, with dependent children","2.0"
"White","Pensioner couple","8.9"
"White","Single non-pensioner","17.5"
"White","Single pensioner","13.4"
"White British","All full-time students","0.4"
"White British","Any other household type","3.6"
"White British","Cohab, Dependent children","4.3"
"White British","Cohab, no children","5.5"
"White British","Cohab, non-dependent children","0.5"
"White British","Lone parent, Dependent children","6.7"
"White British","Lone parent, non-dependent children","3.5"
"White British","Married, Dependent children","14.1"
"White British","Married, no children","13.2"
"White British","Married, non-dependent children","5.9"
"White British","Other, All pensioners","0.3"
"White British","Other, with dependent children","1.8"
"White British","Pensioner couple","9.2"
"White British","Single non-pensioner","17.3"
"White British","Single pensioner","13.8"
"White Irish","All full-time students","0.5"
"White Irish","Any other household type","5.5"
"White Irish","Cohab, Dependent children","2.2"
"White Irish","Cohab, no children","4.8"
"White Irish","Cohab, non-dependent children","0.4"
"White Irish","Lone parent, Dependent children","4.2"
"White Irish","Lone parent, non-dependent children","5.3"
"White Irish","Married, Dependent children","10.4"
"White Irish","Married, no children","9.9"
"White Irish","Married, non-dependent children","5.7"
"White Irish","Other, All pensioners","0.5"
"White Irish","Other, with dependent children","1.4"
"White Irish","Pensioner couple","9.3"
"White Irish","Single non-pensioner","20.3"
"White Irish","Single pensioner","19.4"
"White Gypsy/Traveller","All full-time students","0.5"
"White Gypsy/Traveller","Any other household type","4.6"
"White Gypsy/Traveller","Cohab, Dependent children","6.3"
"White Gypsy/Traveller","Cohab, no children","3.2"
"White Gypsy/Traveller","Cohab, non-dependent children","0.6"
"White Gypsy/Traveller","Lone parent, Dependent children","20.4"
"White Gypsy/Traveller","Lone parent, non-dependent children","4.1"
"White Gypsy/Traveller","Married, Dependent children","12.6"
"White Gypsy/Traveller","Married, no children","6.8"
"White Gypsy/Traveller","Married, non-dependent children","3.6"
"White Gypsy/Traveller","Other, All pensioners","0.2"
"White Gypsy/Traveller","Other, with dependent children","5.6"
"White Gypsy/Traveller","Pensioner couple","2.0"
"White Gypsy/Traveller","Single non-pensioner","23.3"
"White Gypsy/Traveller","Single pensioner","6.1"
"White other","All full-time students","1.2"
"White other","Any other household type","13.5"
"White other","Cohab, Dependent children","4.1"
"White other","Cohab, no children","8.1"
"White other","Cohab, non-dependent children","0.2"
"White other","Lone parent, Dependent children","6.1"
"White other","Lone parent, non-dependent children","2.1"
"White other","Married, Dependent children","18.9"
"White other","Married, no children","10.3"
"White other","Married, non-dependent children","2.8"
"White other","Other, All pensioners","0.1"
"White other","Other, with dependent children","5.2"
"White other","Pensioner couple","2.6"
"White other","Single non-pensioner","19.9"
"White other","Single pensioner","4.9"
