"","Mixed","Mixed White/Black Caribbean","Mixed White/Black African","Mixed White/Asian","Mixed other"
"Household type","%","%","%","%","%"
"All full-time students","1.4","0.9","1.5","2.1","1.5"
"Any other household type","7.3","5.1","7.5","8.5","9.3"
"Cohab, Dependent children","5.0","6.1","5.0","4.3","4.0"
"Cohab, no children","5.9","4.9","5.0","7.0","6.6"
"Cohab, non-dependent children","0.4","0.5","0.3","0.3","0.3"
"Lone parent, Dependent children","16.2","22.7","17.4","9.6","12.7"
"Lone parent, non-dependent children","2.9","3.2","3.2","2.2","2.9"
"Married, Dependent children","12.0","8.0","13.2","15.8","13.5"
"Married, no children","5.8","3.9","4.8","7.7","7.3"
"Married, non-dependent children","2.1","1.9","1.7","2.5","2.3"
"Other, All pensioners","0.2","0.2","0.1","0.2","0.2"
"Other, with dependent children","3.9","3.9","5.3","3.2","4.0"
"Pensioner couple","1.7","1.6","0.8","2.2","1.7"
"Single non-pensioner","31.0","32.7","31.3","30.2","29.0"
"Single pensioner","4.3","4.6","2.8","4.2","4.7"
