"Measure","Ethnic group","Ethnicity_type","Academic year","Classification of first degree","Count","Value","Geography","Source"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2012/13","First class honours","3905","13.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2012/13","Lower second/third class/pass","11680","40.2","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2012/13","Unclassified/NA","2555","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2012/13","Upper second class honours","13445","46.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2012/13","All classifications","29035","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2012/13","First class honours","1335","7.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2012/13","Lower second/third class/pass","9470","53.2","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2012/13","Unclassified/NA","715","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2012/13","Upper second class honours","7005","39.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2012/13","All classifications","17805","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2012/13","First class honours","1625","16.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2012/13","Lower second/third class/pass","3260","32.9","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2012/13","Unclassified/NA","475","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2012/13","Upper second class honours","5035","50.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2012/13","All classifications","9920","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2012/13","First class honours","410","13.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2012/13","Lower second/third class/pass","1235","40.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2012/13","Unclassified/NA","235","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2012/13","Upper second class honours","1415","46.2","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2012/13","All classifications","3060","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2012/13","First class honours","1035","14.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2012/13","Lower second/third class/pass","3460","48.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2012/13","Unclassified/NA","1245","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2012/13","Upper second class honours","2650","37.1","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2012/13","All classifications","7140","100","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2012/13","First class honours","51130","20.4","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2012/13","Lower second/third class/pass","67205","26.8","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2012/13","Unclassified/NA","16505","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2012/13","Upper second class honours","132535","52.8","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2012/13","All classifications","250875","100","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2012/13","First class honours","58405","18.8","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2012/13","Lower second/third class/pass","92855","29.9","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2012/13","Unclassified/NA","20490","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2012/13","Upper second class honours","159430","51.3","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2012/13","All classified degrees","310690","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2013/14","First class honours","4580","15","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2013/14","Lower second/third class/pass","11240","36.9","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2013/14","Unclassified/NA","2605","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2013/14","Upper second class honours","14650","48.1","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2013/14","All classifications","30465","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2013/14","First class honours","1645","8.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2013/14","Lower second/third class/pass","9490","50.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2013/14","Unclassified/NA","730","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2013/14","Upper second class honours","7670","40.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2013/14","All classifications","18810","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2013/14","First class honours","1985","18.1","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2013/14","Lower second/third class/pass","3215","29.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2013/14","Unclassified/NA","520","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2013/14","Upper second class honours","5785","52.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2013/14","All classifications","10990","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2013/14","First class honours","480","15","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2013/14","Lower second/third class/pass","1195","37.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2013/14","Unclassified/NA","245","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2013/14","Upper second class honours","1515","47.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2013/14","All classifications","3190","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2013/14","First class honours","970","14.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2013/14","Lower second/third class/pass","3205","48.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2013/14","Unclassified/NA","905","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2013/14","Upper second class honours","2395","36.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2013/14","All classifications","6575","100","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2013/14","First class honours","58385","22.4","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2013/14","Lower second/third class/pass","63570","24.4","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2013/14","Unclassified/NA","17755","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2013/14","Upper second class honours","139000","53.3","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2013/14","All classifications","260960","100","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2013/14","First class honours","67075","20.7","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2013/14","Lower second/third class/pass","88715","27.3","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2013/14","Unclassified/NA","21855","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2013/14","Upper second class honours","168625","52","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2013/14","All classified degrees","324415","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","First class honours","5225","17.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","Lower second/third class/pass","10255","34.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","Unclassified/NA","2640","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","Upper second class honours","13990","47.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2014/15","All classifications","29470","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","First class honours","1865","9.8","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","Lower second/third class/pass","9395","49.2","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","Unclassified/NA","710","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","Upper second class honours","7835","41","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2014/15","All classifications","19095","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","First class honours","2015","19.6","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","Lower second/third class/pass","2870","27.9","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","Unclassified/NA","560","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","Upper second class honours","5390","52.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2014/15","All classifications","10275","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","First class honours","570","17.1","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","Lower second/third class/pass","1255","37.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","Unclassified/NA","240","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","Upper second class honours","1530","45.6","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2014/15","All classifications","3355","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","First class honours","920","15.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","Lower second/third class/pass","2910","48.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","Unclassified/NA","765","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","Upper second class honours","2190","36.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2014/15","All classifications","6015","100","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","First class honours","58770","24.7","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","Lower second/third class/pass","54565","22.9","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","Unclassified/NA","16565","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","Upper second class honours","124675","52.4","UK","HESA student record"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2014/15","All classifications","238010","100","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2014/15","First class honours","68450","22.8","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2014/15","Lower second/third class/pass","78335","26.1","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2014/15","Unclassified/NA","20720","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2014/15","Upper second class honours","153415","51.1","UK","HESA student record"
"% of ethnic group with each classification of degree","All (excl Unknown)","ONS 2011 5+1","2014/15","All classified degrees","300200","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","First class honours","5705","18.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","Lower second/third class/pass","10365","33.5","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","Unclassified/NA","2605","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","Upper second class honours","14860","48","UK","HESA student record"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","All classifications","30930","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","First class honours","2145","10.9","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","Lower second/third class/pass","9195","46.9","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","Unclassified/NA","760","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","Upper second class honours","8265","42.2","UK","HESA student record"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","All classifications","19610","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","First class honours","2300","20.9","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","Lower second/third class/pass","3020","27.4","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","Unclassified/NA","450","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","Upper second class honours","5680","51.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","All classifications","11000","100","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","First class honours","675","17.7","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","Lower second/third class/pass","1345","35.3","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","Unclassified/NA","245","N/A","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","Upper second class honours","1795","47","UK","HESA student record"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","All classifications","3815","100","UK","HESA student record"
