"Ethnicity","Year","%"
"White","2009/11","20.3"
"White","2010/12","19.6"
"White","2011/13","17.9"
"White","2012/14","16.9"
"White","2013/15","16.0"
"White","2014/16","15.7"
"White","2015/17","15.0"
"White","2016/18","14.4"
"White","2017/19","13.7"
"White","2018/20","12.6"
"White","2019/21","12.6"
"Other than White","2009/11","39.4"
"Other than White","2010/12","38.4"
"Other than White","2011/13","35.8"
"Other than White","2012/14","32.7"
"Other than White","2013/15","28.7"
"Other than White","2014/16","24.7"
"Other than White","2015/17","26.0"
"Other than White","2016/18","29.1"
"Other than White","2017/19","25.2"
"Other than White","2018/20","19.8"
"Other than White","2019/21","19.1"
