"Sex","Ethnicity","%","Number of people employed"
"All","All","75","30,116,600"
"All","Asian","66","2,084,600"
"All","Indian","76","856,200"
"All","Pakistani, Bangladeshi","57","715,600"
"All","Asian Other","64","512,900"
"All","Black","67","940,900"
"All","Mixed","67","365,800"
"All","White","77","26,212,300"
"All","White British","76","23,733,100"
"All","White Other","82","2,479,200"
"All","Other","61","488,300"
"Men","All","80","15,895,800"
"Men","Asian","77","1,212,000"
"Men","Indian","83","476,300"
"Men","Pakistani, Bangladeshi","75","480,800"
"Men","Asian Other","71","254,900"
"Men","Black","72","470,500"
"Men","Mixed","71","186,300"
"Men","White","81","13,733,200"
"Men","White British","80","12,444,400"
"Men","White Other","88","1,288,800"
"Men","Other","70","280,200"
"Women","All","71","14,220,800"
"Women","Asian","54","872,600"
"Women","Indian","69","379,900"
"Women","Pakistani, Bangladeshi","39","234,800"
"Women","Asian Other","58","258,000"
"Women","Black","63","470,300"
"Women","Mixed","63","179,500"
"Women","White","73","12,479,000"
"Women","White British","73","11,288,700"
"Women","White Other","76","1,190,400"
"Women","Other","51","208,100"
