"Region","Ethnicity","%"
"All","All","75"
"All","Asian","66"
"All","Indian","76"
"All","Pakistani, Bangladeshi","57"
"All","Asian Other","64"
"All","Black","67"
"All","Mixed","67"
"All","White","77"
"All","White British","76"
"All","White Other","82"
"All","Other","61"
"East Midlands","All","75"
"East Midlands","Asian","65"
"East Midlands","Indian","72"
"East Midlands","Pakistani, Bangladeshi","57"
"East Midlands","Asian Other","52"
"East Midlands","Black","64"
"East Midlands","Mixed","61"
"East Midlands","White","76"
"East Midlands","White British","76"
"East Midlands","White Other","81"
"East Midlands","Other","?"
"East of England","All","78"
"East of England","Asian","71"
"East of England","Indian","83"
"East of England","Pakistani, Bangladeshi","58"
"East of England","Asian Other","73"
"East of England","Black","83"
"East of England","Mixed","73"
"East of England","White","78"
"East of England","White British","78"
"East of England","White Other","83"
"East of England","Other","79"
"London","All","74"
"London","Asian","68"
"London","Indian","79"
"London","Pakistani, Bangladeshi","59"
"London","Asian Other","66"
"London","Black","66"
"London","Mixed","68"
"London","White","80"
"London","White British","78"
"London","White Other","83"
"London","Other","61"
"North East","All","71"
"North East","Asian","62"
"North East","Indian","?"
"North East","Pakistani, Bangladeshi","60"
"North East","Asian Other","?"
"North East","Black","58"
"North East","Mixed","?"
"North East","White","72"
"North East","White British","72"
"North East","White Other","73"
"North East","Other","45"
"North West","All","74"
"North West","Asian","58"
"North West","Indian","69"
"North West","Pakistani, Bangladeshi","56"
"North West","Asian Other","51"
"North West","Black","68"
"North West","Mixed","62"
"North West","White","76"
"North West","White British","76"
"North West","White Other","81"
"North West","Other","53"
"Scotland","All","74"
"Scotland","Asian","59"
"Scotland","Indian","?"
"Scotland","Pakistani, Bangladeshi","59"
"Scotland","Asian Other","54"
"Scotland","Black","56"
"Scotland","Mixed","?"
"Scotland","White","75"
"Scotland","White British","75"
"Scotland","White Other","78"
"Scotland","Other","50"
"South East","All","78"
"South East","Asian","72"
"South East","Indian","81"
"South East","Pakistani, Bangladeshi","66"
"South East","Asian Other","67"
"South East","Black","72"
"South East","Mixed","76"
"South East","White","79"
"South East","White British","79"
"South East","White Other","81"
"South East","Other","70"
"South West","All","79"
"South West","Asian","71"
"South West","Indian","76"
"South West","Pakistani, Bangladeshi","?"
"South West","Asian Other","67"
"South West","Black","72"
"South West","Mixed","71"
"South West","White","79"
"South West","White British","79"
"South West","White Other","86"
"South West","Other","60"
"Wales","All","73"
"Wales","Asian","62"
"Wales","Indian","?"
"Wales","Pakistani, Bangladeshi","?"
"Wales","Asian Other","59"
"Wales","Black","56"
"Wales","Mixed","76"
"Wales","White","74"
"Wales","White British","74"
"Wales","White Other","80"
"Wales","Other","62"
"West Midlands","All","73"
"West Midlands","Asian","62"
"West Midlands","Indian","72"
"West Midlands","Pakistani, Bangladeshi","55"
"West Midlands","Asian Other","63"
"West Midlands","Black","64"
"West Midlands","Mixed","57"
"West Midlands","White","76"
"West Midlands","White British","76"
"West Midlands","White Other","81"
"West Midlands","Other","58"
"Yorkshire and The Humber","All","74"
"Yorkshire and The Humber","Asian","57"
"Yorkshire and The Humber","Indian","71"
"Yorkshire and The Humber","Pakistani, Bangladeshi","51"
"Yorkshire and The Humber","Asian Other","68"
"Yorkshire and The Humber","Black","70"
"Yorkshire and The Humber","Mixed","69"
"Yorkshire and The Humber","White","75"
"Yorkshire and The Humber","White British","75"
"Yorkshire and The Humber","White Other","82"
"Yorkshire and The Humber","Other","53"
