"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator","Upper 95% C.I.","Lower 95% C.I."
"Key stage 2 progress in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0","Numeric","16258.69","584665","0","0"
"Key stage 2 progress in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.4","Numeric","-111307.95","297985","-0.4","-0.4"
"Key stage 2 progress in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.4","Numeric","127566.64","286680","0.5","0.4"
"Key stage 2 progress in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.2","Numeric","15037.79","61571","0.3","0.2"
"Key stage 2 progress in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0","Numeric","-552.7","31503","0","-0.1"
"Key stage 2 progress in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.5","Numeric","15590.49","30068","0.6","0.5"
"Key stage 2 progress in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.4","Numeric","3732.68","10005","0.5","0.3"
"Key stage 2 progress in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.1","Numeric","558.74","5156","0.3","-0.1"
"Key stage 2 progress in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.7","Numeric","3173.94","4849","0.8","0.5"
"Key stage 2 progress in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.6","Numeric","6078.54","9999","0.7","0.5"
"Key stage 2 progress in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.3","Numeric","1597.57","5094","0.5","0.1"
"Key stage 2 progress in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.9","Numeric","4480.97","4905","1.1","0.7"
"Key stage 2 progress in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.2","Numeric","6576.96","33622","0.3","0.1"
"Key stage 2 progress in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.2","Numeric","-3899.25","16829","-0.1","-0.3"
"Key stage 2 progress in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.6","Numeric","10476.21","16793","0.7","0.5"
"Key stage 2 progress in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.4","Numeric","9246.1","22406","0.5","0.3"
"Key stage 2 progress in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0","Numeric","-149.68","11156","0.1","-0.1"
"Key stage 2 progress in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.8","Numeric","9395.78","11250","0.9","0.7"
"Key stage 2 progress in reading by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.5","Numeric","-3565.81","6900","-0.4","-0.7"
