"Ethnicity","Local Authority ","%","Number"
"All","Barking and Dagenham","75","2,570"
"All","Barnet","82","3,259"
"All","Barnsley","74","2,015"
"All","Bath and North East Somerset","79","1,501"
"All","Bedford","61","1,239"
"All","Bexley","80","2,532"
"All","Birmingham","71","11,111"
"All","Blackburn with Darwen","75","1,642"
"All","Blackpool","72","1,188"
"All","Bolton","75","2,819"
"All","Bournemouth","76","1,257"
"All","Bracknell Forest","77","1,059"
"All","Bradford","71","5,457"
"All","Brent","73","2,666"
"All","Brighton and Hove","80","2,094"
"All","Bristol, City of","73","3,400"
"All","Bromley","82","3,008"
"All","Buckinghamshire","79","4,833"
"All","Bury","76","1,739"
"All","Calderdale","74","1,949"
"All","Cambridgeshire","75","5,092"
"All","Camden","82","1,231"
"All","Central Bedfordshire","74","2,451"
"All","Cheshire East","81","3,270"
"All","Cheshire West and Chester","78","2,981"
"All","City of London","76","22"
"All","Cornwall","75","4,342"
"All","County Durham","78","4,317"
"All","Coventry","72","2,998"
"All","Croydon","77","3,420"
"All","Cumbria","78","3,986"
"All","Darlington","78","961"
"All","Derby","71","2,285"
"All","Derbyshire","76","6,247"
"All","Devon","77","6,021"
"All","Doncaster","70","2,470"
"All","Dorset","74","3,209"
"All","Dudley","69","2,513"
"All","Ealing","77","3,167"
"All","East Riding of Yorkshire","77","2,723"
"All","East Sussex","76","4,060"
"All","Enfield","74","3,279"
"All","Essex","77","12,404"
"All","Gateshead","81","1,691"
"All","Gloucestershire","76","4,914"
"All","Greenwich","79","2,581"
"All","Hackney","78","1,970"
"All","Halton","75","1,101"
"All","Hammersmith and Fulham","83","1,109"
"All","Hampshire","79","11,376"
"All","Haringey","75","2,318"
"All","Harrow","81","2,242"
"All","Hartlepool","76","858"
"All","Havering","78","2,308"
"All","Herefordshire, County of","80","1,502"
"All","Hertfordshire","80","10,839"
"All","Hillingdon","78","2,844"
"All","Hounslow","78","2,317"
"All","Isle of Wight","69","912"
"All","Isles of Scilly","76","26"
"All","Islington","78","1,454"
"All","Kensington and Chelsea","84","809"
"All","Kent","77","13,352"
"All","Kingston upon Hull, City of","76","2,379"
"All","Kingston upon Thames","82","1,469"
"All","Kirklees","73","3,831"
"All","Knowsley","73","1,261"
"All","Lambeth","79","2,352"
"All","Lancashire","76","10,342"
"All","Leeds","72","6,476"
"All","Leicester","71","3,190"
"All","Leicestershire","77","5,777"
"All","Lewisham","79","2,659"
"All","Lincolnshire","72","5,556"
"All","Liverpool","73","3,587"
"All","Luton","70","2,162"
"All","Manchester","72","4,769"
