"","Reliably improved (%)","","","No reliable change (%)","","","Reliably deteriorated (%)","",""
"Ethnicity","2015/16","2016/17","2017/18","2015/16","2016/17","2017/18","2015/16","2016/17","2017/18"
"Asian","56.7","61.1","62.7","31.7","29.6","28.4","8.4","7.8","7.5"
"Bangladeshi","53.9","58.9","61.7","32.0","29.7","28.1","10.7","10.1","8.6"
"Indian","59.2","64.0","65.3","30.7","28.1","27.1","7.4","6.7","6.4"
"Pakistani","54.9","59.1","61.3","32.5","30.8","29.1","9.1","8.3","8.3"
"Asian other","55.2","59.1","60.4","32.3","30.8","30.0","8.7","8.2","8.1"
"Black","59.8","62.5","63.9","29.4","28.7","27.3","8.2","7.4","7.3"
"Black African","58.8","61.7","63.1","29.6","28.9","27.9","8.5","7.8","7.5"
"Black Caribbean","60.8","63.3","64.5","29.1","28.5","26.9","7.7","7.1","7.3"
"Black other","58.6","61.8","64.2","30.0","29.2","27.1","8.7","7.5","7.2"
"Mixed","58.6","62.4","63.2","30.9","29.1","28.3","7.3","6.7","7.2"
"Mixed White/Asian","58.2","63.5","62.7","31.5","28.8","28.8","7.4","6.0","7.2"
"Mixed White/Black African","60.8","61.0","64.1","28.4","30.5","26.8","7.8","6.5","7.9"
"Mixed White/Black Caribbean","58.8","61.5","63.7","31.2","30.2","27.9","7.0","6.8","7.3"
"Mixed other","58.0","62.9","62.8","30.9","27.9","28.7","7.5","7.0","6.9"
"White","63.5","66.0","67.2","28.3","26.9","26.2","6.0","5.8","5.7"
"White British","63.6","66.1","67.3","28.2","26.9","26.2","5.9","5.8","5.7"
"White Irish","63.8","65.2","65.8","27.6","26.9","26.7","5.9","6.5","6.6"
"White other","61.9","63.7","65.6","28.8","28.2","27.0","6.8","6.7","6.3"
"Other inc Chinese","56.4","59.0","61.7","30.8","30.5","28.8","8.1","8.6","8.0"
"Chinese","60.6","64.5","65.4","29.4","26.9","27.7","6.6","7.4","5.9"
"Any other","55.7","57.9","61.0","31.1","31.2","29.0","8.4","8.8","8.4"
