"Title","Income distribution","","","","","","","","","",""
"Location","UK","","","","","","","","","",""
"Time period","2008/09 to 2018/19","","","","","","","","","",""
"Data source","Department for Work and Pensions","","","","","","","","","",""
"Data source link","https://www.gov.uk/government/collections/households-below-average-income-hbai--2","","","","","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","","","","","","",""
"Last updated","17/06/2020","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Income Quintile Distribution","Value","Denominator","Numerator","Note"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in bottom income quintile (lowest income)","18","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in second income quintile","20","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in third income quintile","20","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in fourth income quintile","21","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in top income quintile (highest income)","21","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White British","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in bottom income quintile (lowest income)","18","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White British","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in second income quintile","20","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White British","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in third income quintile","21","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White British","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in fourth income quintile","21","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White British","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in top income quintile (highest income)","21","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White Other","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in bottom income quintile (lowest income)","19","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Quintile distribution of income Before Housing Costs","2016/17; 2017/18; 2018/19","3-Year average","White Other","ONS 5+2","United Kingdom","ONS geography code","Percentage of individuals in second income quintile","17","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
