"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value type","Denominator","Numerator","Lower CI","Upper CI","Unweighted respondents","Note"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","All","All","England","68.7","%","688,180.1","472,550.1","68.5","68.8","687,523",""
"Satisfaction with access to GP services","2016/17","January 2017 to March 2017","All","All","England","72.7","%","773,210.1","561,766.8","72.5","72.8","768,439",""
"Satisfaction with access to GP services","2015/16","July 2015 to March 2016","All","All","England","73.4","%","799,136.1","586,869.7","73.3","73.6","795,201",""
"Satisfaction with access to GP services","2014/15","July 2014 to March 2015","All","All","England","73.3","%","824,644.7","604,394.2","73.2","73.4","820,012",""
"Satisfaction with access to GP services","2013/14","July 2013 to March 2014","All","All","England","74.6","%","863,670.8","644,326.3","74.5","74.7","",""
"Satisfaction with access to GP services","2012/13","July 2012 to March 2013","All","All","England","76.3","%","933,601.2","712,732.4","76.2","76.5","",""
"Satisfaction with access to GP services","2011/12","July 2011 to March 2012","All","All","England","79.1","%","993,280.8","786,168.1","79","79.3","",""
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Black African","ONS 2011 18+1","England","73.4","%","13,908.9","10,209.9","","","11,949","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Asian other","ONS 2011 18+1","England","66.9","%","10,897.2","7,295.6","","","9,495","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Black other","ONS 2011 18+1","England","66.1","%","1,658.9","1,096.5","","","1,472","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Any other ethnic group","ONS 2011 18+1","England","67","%","10,417.8","6,975.4","","","8,905","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Mixed other","ONS 2011 18+1","England","65","%","3,165.5","2,058.7","","","2,266","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","White other","ONS 2011 18+1","England","67.3","%","45,358.5","30,541.9","","","33,000","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Arab","ONS 2011 18+1","England","65.9","%","2,516.3","1,658.7","","","2,122","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Bangladeshi","ONS 2011 18+1","England","57","%","5,714.2","3,254.7","","","4,212","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Black Caribbean","ONS 2011 18+1","England","67.5","%","6,134.4","4,140.7","","","7,077","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Chinese","ONS 2011 18+1","England","60.7","%","5,804.8","3,525.9","","","4,480","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","White British","ONS 2011 18+1","England","69.8","%","527,264.5","368,021.8","","","546,721","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","White Gypsy or Irish Traveller","ONS 2011 18+1","England","61.6","%","277.6","171.1","","","195","No figures to report for upper and lower bounds"
"Satisfaction with access to GP services","2017/18","January 2018 to March 2018","Indian","ONS 2011 18+1","England","59.9","%","20,685.2","12,381.3","","","21,307","No figures to report for upper and lower bounds"
