"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Value_type"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2002/04","Year","White","White & Other","233","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2002/04","Year","Other","White & Other","221","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2002/04","Year","All","All","232","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2003/05","Year","White","White & Other","240","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2003/05","Year","Other","White & Other","234","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2003/05","Year","All","All","239","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2004/06","Year","White","White & Other","263","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2004/06","Year","Other","White & Other","213","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2004/06","Year","All","All","257","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2005/07","Year","White","White & Other","341","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2005/07","Year","Other","White & Other","269","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2005/07","Year","All","All","331","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2006/08","Year","White","White & Other","328","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2006/08","Year","Other","White & Other","278","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2006/08","Year","All","All","322","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2007/09","Year","White","White & Other","350","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2007/09","Year","Other","White & Other","313","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2007/09","Year","All","All","345","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2008/10","Year","White","White & Other","375","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2008/10","Year","Other","White & Other","295","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2008/10","Year","All","All","363","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2009/11","Year","White","White & Other","381","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2009/11","Year","Other","White & Other","270","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2009/11","Year","All","All","364","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2010/12","Year","White","White & Other","413","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2010/12","Year","Other","White & Other","306","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2010/12","Year","All","All","396","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2011/13","Year","White","White & Other","410","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2011/13","Year","Other","White & Other","334","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2011/13","Year","All","All","397","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2012/14","Year","White","White & Other","381","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2012/14","Year","Other","White & Other","378","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2012/14","Year","All","All","380","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2013/15","Year","White","White & Other","383","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2013/15","Year","Other","White & Other","366","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2013/15","Year","All","All","380","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2014/16","Year","White","White & Other","359","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2014/16","Year","Other","White & Other","333","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2014/16","Year","All","All","355","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2015/17","Year","White","White & Other","339","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2015/17","Year","Other","White & Other","342","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2015/17","Year","All","All","339","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2016/18","Year","White","White & Other","334","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2016/18","Year","Other","White & Other","305","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2016/18","Year","All","All","328","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2017/19","Year","White","White & Other","337","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2017/19","Year","Other","White & Other","324","£"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","2017/19","Year","All","All","334","£"
