"Time","Ethnicity","%"
"2015","All","17"
"2015","Asian","5"
"2015","Black","4"
"2015","Mixed","20"
"2015","White","20"
"2015","Other inc Chinese","5"
"2015","Unknown","24"
"2016","All","15"
"2016","Asian","4"
"2016","Black","4"
"2016","Mixed","18"
"2016","White","17"
"2016","Other inc Chinese","4"
"2016","Unknown","21"
"2017","All","14"
"2017","Asian","3"
"2017","Black","3"
"2017","Mixed","17"
"2017","White","17"
"2017","Other inc Chinese","2"
"2017","Unknown","19"
"2018","All","13"
"2018","Asian","2"
"2018","Black","2"
"2018","Mixed","15"
"2018","White","16"
"2018","Other inc Chinese","3"
"2018","Unknown","20"
"2019","All","12"
"2019","Asian","3"
"2019","Black","2"
"2019","Mixed","15"
"2019","White","15"
"2019","Other inc Chinese","2"
"2019","Unknown","20"
