"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Age Bracket","Age Bracket Type","Employer / non-employer","UK Nation","Sector","Value","Value_type","Value_note","Denominator","Numerator"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","88"," %","","1363300","1204908"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","4"," %","","1359555","57209"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","UK","All","7"," %","","1363300","101025"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","88"," %","","1176798","1032278"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","5"," %","","1176798","54242"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","England","All","8"," %","","1176798","90277"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","91"," %","","35168","32130"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","1"," %","","35168","281"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Northern Ireland","All","8"," %","","35168","2757"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","91"," %","","94507","85768"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","3"," %","","94507","2480"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Unknown","White & other","2017","Year","18+","Labour Force age bracket","Employer","Scotland","All","7"," %","","94507","6259"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","97"," %","","54125","52335"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","Other","White & other","2017","Year","18+","Labour Force age bracket","Employer","Wales","All","*"," %"," between 0% and 0.5%","54125","254"
