"Measure","Ethnicity","%"
"Child Benefit","All","18"
"Child Benefit","Asian","26"
"Child Benefit","Bangladeshi","34"
"Child Benefit","Chinese","13"
"Child Benefit","Indian","20"
"Child Benefit","Pakistani","34"
"Child Benefit","Asian other","27"
"Child Benefit","Black","28"
"Child Benefit","Mixed","21"
"Child Benefit","White","17"
"Child Benefit","White British","17"
"Child Benefit","White other","22"
"Child Benefit","Other","22"
"State Pension","All","24"
"State Pension","Asian","9"
"State Pension","Bangladeshi","6"
"State Pension","Chinese","7"
"State Pension","Indian","12"
"State Pension","Pakistani","7"
"State Pension","Asian other","7"
"State Pension","Black","10"
"State Pension","Mixed","8"
"State Pension","White","26"
"State Pension","White British","28"
"State Pension","White other","8"
"State Pension","Other","8"
"Disability Living Allowance (care component)","All","7"
"Disability Living Allowance (care component)","Asian","4"
"Disability Living Allowance (care component)","Bangladeshi","8"
"Disability Living Allowance (care component)","Chinese","1"
"Disability Living Allowance (care component)","Indian","3"
"Disability Living Allowance (care component)","Pakistani","6"
"Disability Living Allowance (care component)","Asian other","2"
"Disability Living Allowance (care component)","Black","6"
"Disability Living Allowance (care component)","Mixed","6"
"Disability Living Allowance (care component)","White","8"
"Disability Living Allowance (care component)","White British","8"
"Disability Living Allowance (care component)","White other","3"
"Disability Living Allowance (care component)","Other","6"
"Disability Living Allowance (mobility component)","All","6"
"Disability Living Allowance (mobility component)","Asian","3"
"Disability Living Allowance (mobility component)","Bangladeshi","4"
"Disability Living Allowance (mobility component)","Chinese","~0"
"Disability Living Allowance (mobility component)","Indian","2"
"Disability Living Allowance (mobility component)","Pakistani","5"
"Disability Living Allowance (mobility component)","Asian other","2"
"Disability Living Allowance (mobility component)","Black","4"
"Disability Living Allowance (mobility component)","Mixed","4"
"Disability Living Allowance (mobility component)","White","6"
"Disability Living Allowance (mobility component)","White British","6"
"Disability Living Allowance (mobility component)","White other","2"
"Disability Living Allowance (mobility component)","Other","4"
