"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Denominator","Numerator","Lower_95_CI","Upper_95_CI"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.7","309931","226604.14879499999","0.71216803194605804","0.75011969529000799"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","-0.7","298971","-205360.98566599999","-0.70621318004316203","-0.66757214138266296"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","All","NA","0","NULL","NULL","NULL"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","0","608902","21243.163129","2.1349495828223899E-2","4.8425814908150802E-2"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","-0.3","52252","-15674.433521000001","-0.346192560069158","-0.25376279172598798"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","0.9","257679","242278.58231600001","0.91942305721141504","0.961045140165939"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","-1.6","50436","-80596.038352999996","-1.6450258602122301","-1.55094679237718"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","-0.5","248535","-124764.947313","-0.52319193740948899","-0.48081109888721002"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","Non-FSM","NA","0","NULL","NULL","NULL"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","-0.9","102688","-96270.471873999995","-0.97047114372844001","-0.90453804671249805"
"Key stage 2 average progress in maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","0.2","506214","117513.635003","0.21729426501715501","0.246990148306062"
"Key stage 2 average progress in maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","2.6","33078","86118.967665999997","2.5454269697773602","2.6615968929713198"
"Key stage 2 average progress in maths","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.7","17278","12497.735361999999","0.64296365803393296","0.80370092837653295"
"Key stage 2 average progress in maths","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.5","18142","9379.3325719999993","0.43856397086504401","0.595427052395892"
"Key stage 2 average progress in maths","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.4","232706","95513.935578000004","0.38854969461375299","0.43234822446010002"
"Key stage 2 average progress in maths","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","3.1","5211","16114.905677999999","2.9461352588938401","3.2388218234320099"
"Key stage 2 average progress in maths","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","0.2","2259","555.426061","2.3605421922155301E-2","0.46813965200436197"
