"","Special","","State-funded primary","","State-funded secondary","","Total",""
"Ethnicity","%","Pupil enrolments","%","Pupil enrolments","%","Pupil enrolments","%","Pupil enrolments"
"Asian","35.2","3,321","8.5","36,627","9.5","29,567","9.3","69,515"
"Bangladeshi","37.1","608","10.0","6,530","9.6","4,947","10.2","12,085"
"Indian","27.0","470","5.7","6,878","6.1","5,047","6.1","12,395"
"Pakistani","39.4","1,741","10.9","18,466","12.6","15,927","12.0","36,134"
"Asian other","30.7","502","6.5","4,753","7.2","3,646","7.1","8,901"
"Black","22.8","1,575","6.0","13,489","8.3","14,097","7.3","29,161"
"Black African","20.3","874","4.3","6,570","5.7","6,223","5.1","13,667"
"Black Caribbean","29.9","448","11.2","4,576","14.8","5,723","13.3","10,747"
"Black other","23.3","253","7.5","2,343","9.9","2,151","8.8","4,747"
"Chinese","16.3","52","2.7","514","3.0","305","3.0","871"
"Mixed","32.0","1,912","10.4","25,248","15.7","24,291","12.8","51,451"
"Mixed White/Asian","27.8","289","8.1","4,634","12.7","4,572","10.1","9,495"
"Mixed White/Black African","26.2","214","8.9","3,047","13.9","2,748","11.0","6,009"
"Mixed White/Black Caribbean","36.8","690","14.2","8,906","21.3","9,276","17.5","18,872"
"Mixed other","32.0","719","9.8","8,661","13.9","7,695","11.7","17,075"
"White","29.1","21,398","8.7","254,925","14.9","326,070","11.6","602,393"
"White British","28.7","19,796","8.2","214,957","14.8","297,692","11.3","532,445"
"White Irish","38.8","100","13.1","1,349","16.2","1,440","14.8","2,889"
"Gypsy/Roma","58.1","222","46.3","7,797","52.2","4,570","48.5","12,589"
"Irish Traveller","73.0","92","67.3","2,998","56.8","701","65.2","3,791"
"White other","31.6","1,188","9.9","27,824","13.7","21,667","11.4","50,679"
"Other","32.6","512","8.7","6,810","10.3","5,365","9.6","12,687"
