"Measure","Time","Type_type","Ethnicity","Ethnicity_Type","Local Authority","School type","Value","Denominator","Numerator"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Barking and Dagenham","","3.9","9,652,697","378,886"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Barking and Dagenham","","4.4","2,813,501","124,086"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Barking and Dagenham","","2.7","3,606,717","97,094"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Barking and Dagenham","","2.1","39,185","808"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Barking and Dagenham","","5.1","1,048,063","53,902"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Barking and Dagenham","","4.6","219,333","9,996"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Barking and Dagenham","","5.4","138,035","7,520"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Barking and Dagenham","","5.8","4,905,494","283,929"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Barnet","","4.2","11,493,537","482,901"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Barnet","","4","2,083,254","83,509"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Barnet","","3.9","1,952,811","77,051"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Barnet","","2.3","216,685","4,940"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Barnet","","4.8","1,772,974","84,295"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Barnet","","4.3","1,736,297","74,460"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Barnet","","5","346,781","17,316"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Barnet","","4.4","8,737,353","386,582"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Barnsley","","5.3","836,852","44,758"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Barnsley","","4.5","56,850","2,544"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Barnsley","","2.8","72,275","2,024"
"Overall Absence Rate","2017/18","Academic year","Chinese","ONS 5+1","Barnsley","","1.7","5,952","101"
"Overall Absence Rate","2017/18","Academic year","Mixed","ONS 5+1","Barnsley","","4.9","219,608","10,869"
"Overall Absence Rate","2017/18","Academic year","Other","ONS 5+1","Barnsley","","4.3","36,816","1,591"
"Overall Absence Rate","2017/18","Academic year","Unclassified","ONS 5+1","Barnsley","","7","53,927","3,800"
"Overall Absence Rate","2017/18","Academic year","White","ONS 5+1","Barnsley","","5.4","9,771,046","524,778"
"Overall Absence Rate","2017/18","Academic year","All Ethnic Minorities","ONS 5+1","Bath and North East Somerset","","5.4","1,065,991","57,059"
"Overall Absence Rate","2017/18","Academic year","Asian","ONS 5+1","Bath and North East Somerset","","4.7","121,112","5,723"
"Overall Absence Rate","2017/18","Academic year","Black","ONS 5+1","Bath and North East Somerset","","6.2","68,868","4,295"
