"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Value_type"
"Proportion of households in Fuel Poverty in England (%)","2003","Year","White","White & Other","11.5","%"
"Proportion of households in Fuel Poverty in England (%)","2003","Year","Other","White & Other","14.5","%"
"Proportion of households in Fuel Poverty in England (%)","2004","Year","White","White & Other","11.3","%"
"Proportion of households in Fuel Poverty in England (%)","2004","Year","Other","White & Other","15.5","%"
"Proportion of households in Fuel Poverty in England (%)","2005","Year","White","White & Other","10.8","%"
"Proportion of households in Fuel Poverty in England (%)","2005","Year","Other","White & Other","17","%"
"Proportion of households in Fuel Poverty in England (%)","2006","Year","White","White & Other","10.1","%"
"Proportion of households in Fuel Poverty in England (%)","2006","Year","Other","White & Other","17.6","%"
"Proportion of households in Fuel Poverty in England (%)","2007","Year","White","White & Other","10.6","%"
"Proportion of households in Fuel Poverty in England (%)","2007","Year","Other","White & Other","16.3","%"
"Proportion of households in Fuel Poverty in England (%)","2008","Year","White","White & Other","11","%"
"Proportion of households in Fuel Poverty in England (%)","2008","Year","Other","White & Other","18.2","%"
"Proportion of households in Fuel Poverty in England (%)","2009","Year","White","White & Other","11.1","%"
"Proportion of households in Fuel Poverty in England (%)","2009","Year","Other","White & Other","19.3","%"
"Proportion of households in Fuel Poverty in England (%)","2010","Year","White","White & Other","10.6","%"
"Proportion of households in Fuel Poverty in England (%)","2010","Year","Other","White & Other","18.6","%"
"Proportion of households in Fuel Poverty in England (%)","2011","Year","White","White & Other","10.4","%"
"Proportion of households in Fuel Poverty in England (%)","2011","Year","Other","White & Other","17.1","%"
"Proportion of households in Fuel Poverty in England (%)","2012","Year","White","White & Other","9.9","%"
"Proportion of households in Fuel Poverty in England (%)","2012","Year","Other","White & Other","17.7","%"
"Proportion of households in Fuel Poverty in England (%)","2013","Year","White","White & Other","9.6","%"
"Proportion of households in Fuel Poverty in England (%)","2013","Year","Other","White & Other","18.1","%"
"Proportion of households in Fuel Poverty in England (%)","2014","Year","White","White & Other","9.8","%"
"Proportion of households in Fuel Poverty in England (%)","2014","Year","Other","White & Other","16.8","%"
"Proportion of households in Fuel Poverty in England (%)","2015","Year","White","White & Other","10.4","%"
"Proportion of households in Fuel Poverty in England (%)","2015","Year","Other","White & Other","15.6","%"
"Proportion of households in Fuel Poverty in England (%)","2016","Year","White","White & Other","10.3","%"
"Proportion of households in Fuel Poverty in England (%)","2016","Year","Other","White & Other","17.1","%"
"Proportion of households in Fuel Poverty in England (%)","2017","Year","White","White & Other","9.7","%"
"Proportion of households in Fuel Poverty in England (%)","2017","Year","Other","White & Other","20","%"
