"Ethnicity","Time","%"
"White","2003","11.5"
"White","2004","11.3"
"White","2005","10.8"
"White","2006","10.1"
"White","2007","10.6"
"White","2008","11.0"
"White","2009","11.1"
"White","2010","10.6"
"White","2011","10.4"
"White","2012","9.9"
"White","2013","9.6"
"White","2014","9.8"
"White","2015","10.4"
"White","2016","10.3"
"White","2017","9.7"
"Other than White","2003","14.5"
"Other than White","2004","15.5"
"Other than White","2005","17.0"
"Other than White","2006","17.6"
"Other than White","2007","16.3"
"Other than White","2008","18.2"
"Other than White","2009","19.3"
"Other than White","2010","18.6"
"Other than White","2011","17.1"
"Other than White","2012","17.7"
"Other than White","2013","18.1"
"Other than White","2014","16.8"
"Other than White","2015","15.6"
"Other than White","2016","17.1"
"Other than White","2017","20.0"
