"Measure","Year","Ethnicity","Ethnicity_type","Numerator","Denominator","Crude Rate","Standardised Rate","Confidence Interval","","","","",""
"Number of detentions per 100000 population","2019/20","All","ONS 16+1","50893","53012456","96.0","NA","NA","","","","",""
"Number of detentions per 100000 population","2019/20","Asian","ONS 5+1","3574","3763900","95.0","104.6","3.9","","","","",""
"Number of detentions per 100000 population","2019/20","Bangladeshi","ONS 16+1","479","436514","109.7","136.1","15.5","","","","",""
"Number of detentions per 100000 population","2019/20","Indian","ONS 16+1","934","1395702","66.9","71.9","4.9","","","","",""
"Number of detentions per 100000 population","2019/20","Pakistani","ONS 16+1","1112","1112282","100.0","121.1","8.4","","","","",""
"Number of detentions per 100000 population","2019/20","Asian other","ONS 16+1","1050","819402","128.1","136.3","10.0","","","","",""
"Number of detentions per 100000 population","2019/20","Black","ONS 5+1","5336","1846614","289.0","321.7","9.4","","","","",""
"Number of detentions per 100000 population","2019/20","Black African","ONS 16+1","1984","977741","202.9","232.3","13.6","","","","",""
"Number of detentions per 100000 population","2019/20","Black Caribbean","ONS 16+1","1602","591016","271.1","275.8","13.7","","","","",""
"Number of detentions per 100000 population","2019/20","Black other","ONS 16+1","1750","277857","629.8","810.5","45.5","","","","",""
"Number of detentions per 100000 population","2019/20","Mixed","ONS 5+1","1580","1192879","132.5","214.0","13.6","","","","",""
"Number of detentions per 100000 population","2019/20","Mixed White/Asian","ONS 16+1","188","332708","56.5","93.5","17.2","","","","",""
"Number of detentions per 100000 population","2019/20","Mixed White/Black African","ONS 16+1","208","161550","128.8","197.5","37.2","","","","",""
"Number of detentions per 100000 population","2019/20","Mixed White/Black Caribbean","ONS 16+1","520","415616","125.1","194.8","21.2","","","","",""
"Number of detentions per 100000 population","2019/20","Mixed other","ONS 16+1","664","283005","234.6","369.4","35.7","","","","",""
"Number of detentions per 100000 population","2019/20","White","ONS 5+1","33941","45281142","75.0","73.4","0.8","","","","",""
"Number of detentions per 100000 population","2019/20","White British","ONS 16+1","30314","42279236","71.7","70.5","0.8","","","","",""
"Number of detentions per 100000 population","2019/20","White Irish","ONS 16+1","428","517001","82.8","69.9","7.1","","","","",""
"Number of detentions per 100000 population","2019/20","Gypsy or Irish Traveller","ONS 16+1","NA","54895","NA","NA","NA","","","","",""
"Number of detentions per 100000 population","2019/20","White other","ONS 16+1","3199","2430010","131.6","146.5","6.0","","","","",""
"Number of detentions per 100000 population","2019/20","Other","ONS 5+1","1702","927921","183.4","195.6","11.5","","","","",""
"Number of detentions per 100000 population","2019/20","Chinese","ONS 16+1","175","379503","46.1","54.1","9.7","","","","",""
"Number of detentions per 100000 population","2019/20","Arab","ONS 16+1","NA","220985","NA","NA","NA","","","","",""
"Number of detentions per 100000 population","2019/20","Any other","ONS 16+1","1527","327433","466.4","468.3","27.8","","","","",""
"Number of detentions per 100000 population","2018/19","All","ONS 16+1","45515","53012456","85.9","NA","NA","","","","",""
"Number of detentions per 100000 population","2018/19","Asian","ONS 5+1","3515","3763900","93.4","103.4","3.9","","","","",""
"Number of detentions per 100000 population","2018/19","Bangladeshi","ONS 16+1","497","436514","113.9","141.7","15.9","","","","",""
"Number of detentions per 100000 population","2018/19","Indian","ONS 16+1","912","1395702","65.3","70.9","5.0","","","","",""
"Number of detentions per 100000 population","2018/19","Pakistani","ONS 16+1","1087","1112282","97.7","117.6","8.2","","","","",""
"Number of detentions per 100000 population","2018/19","Asian other","ONS 16+1","1019","819402","124.4","134.0","10.1","","","","",""
"Number of detentions per 100000 population","2018/19","Black","ONS 5+1","5137","1846614","278.2","306.8","9.2","","","","",""
"Number of detentions per 100000 population","2018/19","Black African","ONS 16+1","1981","977741","202.6","221.6","12.9","","","","",""
"Number of detentions per 100000 population","2018/19","Black Caribbean","ONS 16+1","1607","591016","271.9","276.5","13.7","","","","",""
"Number of detentions per 100000 population","2018/19","Black other","ONS 16+1","1549","277857","557.5","728.1","43.7","","","","",""
"Number of detentions per 100000 population","2018/19","Mixed","ONS 5+1","1649","1192879","138.2","232.8","14.7","","","","",""
"Number of detentions per 100000 population","2018/19","Mixed White/Asian","ONS 16+1","171","332708","51.4","82.3","16.5","","","","",""
"Number of detentions per 100000 population","2018/19","Mixed White/Black African","ONS 16+1","208","161550","128.8","188.2","35.9","","","","",""
"Number of detentions per 100000 population","2018/19","Mixed White/Black Caribbean","ONS 16+1","513","415616","123.4","177.6","19.6","","","","",""
"Number of detentions per 100000 population","2018/19","Mixed other","ONS 16+1","757","283005","267.5","474.2","42.6","","","","",""
"Number of detentions per 100000 population","2018/19","White","ONS 5+1","33671","45281142","74.4","72.9","0.8","","","","",""
"Number of detentions per 100000 population","2018/19","White British","ONS 16+1","30109","42279236","71.2","70.1","0.8","","","","",""
"Number of detentions per 100000 population","2018/19","White Irish","ONS 16+1","444","517001","85.9","74.8","7.4","","","","",""
"Number of detentions per 100000 population","2018/19","Gypsy or Irish Traveller","ONS 16+1","NA","54895","NA","NA","NA","","","","",""
"Number of detentions per 100000 population","2018/19","White other","ONS 16+1","3118","2430010","128.3","141.2","5.9","","","","",""
"Number of detentions per 100000 population","2018/19","Other","ONS 5+1","1543","927921","166.3","173.4","10.6","","","","",""
"Number of detentions per 100000 population","2018/19","Chinese","ONS 16+1","188","379503","49.5","52.2","9.0","","","","",""
"Number of detentions per 100000 population","2018/19","Arab","ONS 16+1","NA","220985","NA","NA","NA","","","","",""
"Number of detentions per 100000 population","2018/19","Any other","ONS 16+1","1355","327433","413.8","410.8","25.8","","","","",""
"Number of detentions per 100000 population","2017/18","All","ONS 16+1","43966","53012456","82.9","NA","NA","","","","",""
"Number of detentions per 100000 population","2017/18","Asian","ONS 5+1","3172","3763900","84.3","91.9","3.6","","","","",""
"Number of detentions per 100000 population","2017/18","Bangladeshi","ONS 16+1","448","436514","102.6","129.7","15.1","","","","",""
"Number of detentions per 100000 population","2017/18","Indian","ONS 16+1","715","1395702","51.2","55.7","4.4","","","","",""
"Number of detentions per 100000 population","2017/18","Pakistani","ONS 16+1","1079","1112282","97.0","112.6","7.9","","","","",""
"Number of detentions per 100000 population","2017/18","Asian other","ONS 16+1","930","819402","113.5","124.5","9.8","","","","",""
"Number of detentions per 100000 population","2017/18","Black","ONS 5+1","4804","1846614","260.2","288.7","8.9","","","","",""
"Number of detentions per 100000 population","2017/18","Black African","ONS 16+1","1745","977741","178.5","205.6","13.2","","","","",""
"Number of detentions per 100000 population","2017/18","Black Caribbean","ONS 16+1","1494","591016","252.8","254.3","13.1","","","","",""
"Number of detentions per 100000 population","2017/18","Black other","ONS 16+1","1565","277857","563.2","745.9","44.9","","","","",""
"Number of detentions per 100000 population","2017/18","Mixed","ONS 5+1","1262","1192879","105.8","158.4","11.3","","","","",""
"Number of detentions per 100000 population","2017/18","Mixed White/Asian","ONS 16+1","175","332708","52.6","77.6","14.5","","","","",""
"Number of detentions per 100000 population","2017/18","Mixed White/Black African","ONS 16+1","189","161550","117.0","193.5","37.7","","","","",""
"Number of detentions per 100000 population","2017/18","Mixed White/Black Caribbean","ONS 16+1","413","415616","99.4","149.3","18.6","","","","",""
"Number of detentions per 100000 population","2017/18","Mixed other","ONS 16+1","485","283005","171.4","236.4","26.5","","","","",""
"Number of detentions per 100000 population","2017/18","White","ONS 5+1","33215","45281142","73.4","71.8","0.8","","","","",""
"Number of detentions per 100000 population","2017/18","White British","ONS 16+1","29689","42279236","70.2","69.0","0.8","","","","",""
"Number of detentions per 100000 population","2017/18","White Irish","ONS 16+1","454","517001","87.8","74.7","7.4","","","","",""
"Number of detentions per 100000 population","2017/18","Gypsy or Irish Traveller","ONS 16+1","NA","54895","NA","NA","NA","","","","",""
"Number of detentions per 100000 population","2017/18","White other","ONS 16+1","3072","2430010","126.4","138.9","5.8","","","","",""
"Number of detentions per 100000 population","2017/18","Other","ONS 5+1","1513","927921","163.1","180.3","11.2","","","","",""
"Number of detentions per 100000 population","2017/18","Chinese","ONS 16+1","152","379503","40.1","46.3","9.0","","","","",""
"Number of detentions per 100000 population","2017/18","Arab","ONS 16+1","NA","220985","NA","NA","NA","","","","",""
"Number of detentions per 100000 population","2017/18","Any other","ONS 16+1","1361","327433","415.7","432.9","27.2","","","","",""
