"","All","Asian","Black","Mixed","White","White British","White Other","Other"
"3 year period","£","£","£","£","£","£","£","£"
"2008/09 to 2010/11","169","140","135","138","170","171","157","149"
"2009/10 to 2011/12","173","137","143","144","174","175","151","152"
"2010/11 to 2012/13","175","129","138","?","177","177","149","137"
"2011/12 to 2013/14","177","129","138","?","179","180","149","135"
"2012/13 to 2014/15","181","133","135","159","183","183","156","139"
"2013/14 to 2015/16","183","136","141","156","185","186","153","154"
"2014/15 to 2016/17","187","137","138","153","189","190","151","146"
"2015/16 to 2017/18","190","136","142","163","192","193","152","146"
"2016/17 to 2018/19","192","144","145","180","194","195","153","146"
"2017/18 to 2019/20","194","145","150","178","197","198","155","152"
