"Gender","Ethnicity","%","Sample size"
"Female","All","7.5","7,183"
"Female","Asian","5.7","382"
"Female","Bangladeshi","?","38"
"Female","Chinese","?","35"
"Female","Indian","6.2","153"
"Female","Pakistani","9.1","85"
"Female","Asian other","2.7","71"
"Female","Black","10.4","219"
"Female","Black African","7.1","139"
"Female","Black Caribbean","18.7","68"
"Female","Black other","?","12"
"Female","Mixed","20.0","110"
"Female","Mixed White/Asian","?","24"
"Female","Mixed White/Black African","?","18"
"Female","Mixed White/Black Caribbean","?","39"
"Female","Mixed other","?","29"
"Female","White","7.2","6,404"
"Female","White British","7.6","5,862"
"Female","White Irish","!","!"
"Female","White Gypsy/Traveller","!","!"
"Female","White other","3.8","494"
"Female","Other","11.8","55"
"Female","Arab","?","14"
"Female","Any other","?","41"
"Male","All","3.8","6,005"
"Male","Asian","2.4","402"
"Male","Bangladeshi","?","42"
"Male","Chinese","?","32"
"Male","Indian","2.1","164"
"Male","Pakistani","0.8","92"
"Male","Asian other","7.2","72"
"Male","Black","3.3","134"
"Male","Black African","3.4","91"
"Male","Black Caribbean","?","36"
"Male","Black other","?","7"
"Male","Mixed","3.5","65"
"Male","Mixed White/Asian","?","21"
"Male","Mixed White/Black African","?","9"
"Male","Mixed White/Black Caribbean","?","20"
"Male","Mixed other","?","15"
"Male","White","3.9","5,337"
"Male","White British","4.0","4,935"
"Male","White Irish","!","!"
"Male","White Gypsy/Traveller","!","!"
"Male","White other","1.8","364"
"Male","Other","2.9","58"
"Male","Arab","?","21"
"Male","Any other","?","37"
