"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Academies and free schools","All","53.4","%","432813","231244"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","All","51.9","%","575863","299114"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Church of England","54.2","%","31434","17027"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Hindu","79","%","295","233"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Jewish","78","%","1453","1133"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Muslim","78.8","%","1435","1131"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","No religious character","51.1","%","475789","243194"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Other Christian faith","59.7","%","10444","6237"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Roman catholic","55.7","%","53369","29728"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Sikh","63.6","%","440","280"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Converter Academies","All","57.9","%","295143","170877"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","FE 14-16 Colleges","All","12.5","%","1204","151"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Free Schools","All","57.2","%","13142","7520"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","LA maintained mainstream","All","51.9","%","129298","67132"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Sponsored Academies","All","42.5","%","119982","50938"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","All","53","%","563912","298975"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Church of England","54.2","%","31434","17027"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Hindu","79","%","295","233"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Jewish","78","%","1453","1133"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Muslim","78.8","%","1435","1131"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","No religious character","52.4","%","463838","243055"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Other Christian faith","59.7","%","10444","6237"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Roman catholic","55.7","%","53369","29728"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Sikh","63.6","%","440","280"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded special schools","All","1.2","%","11951","139"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Studio Schools","All","35.4","%","1171","415"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","University Technical Colleges (UTCs)","All","44.3","%","3375","1494"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Academies and free schools","All","41.4","%","29881","12363"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","All state-funded","All","41.3","%","35153","14530"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Converter Academies","All","43.9","%","18587","8159"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Free Schools","All","55","%","919","505"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","LA maintained mainstream","All","41.1","%","5272","2167"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Sponsored Academies","All","35.8","%","10176","3640"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","41.3","%","35153","14530"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","University Technical Colleges (UTCs)","All","29.6","%","199","59"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Academies and free schools","All","51.8","%","380362","197158"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","All state-funded","All","51.7","%","501818","259571"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Converter Academies","All","55.5","%","254165","141122"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Free Schools","All","57.4","%","12223","7015"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","LA maintained mainstream","All","51.3","%","120859","61965"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Sponsored Academies","All","43","%","109627","47171"
