"","1 year after graduation","","3 years after graduation","","5 years after graduation","","10 year after graduation",""
"Ethnicity","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)"
"All","65.9","21.3","72.3","13.9","74.7","10.4","76.9","5.7"
"Bangladeshi","65.7","20.7","73.3","10.8","76.2","6.9","77.7","3.1"
"Chinese","56.7","23.8","62.6","12.0","64.6","8.1","63.8","4.8"
"Indian","65.1","22.2","74.2","13.0","77.5","8.8","78.7","4.5"
"Pakistani","58.9","24.3","69.8","12.2","72.3","8.7","72.6","4.5"
"Asian other","58.9","24.8","67.1","14.6","66.8","11.0","69.1","6.7"
"Black African","60.6","24.8","64.3","18.2","64.9","14.5","65.9","9.2"
"Black Caribbean","69.1","18.0","73.4","12.7","74.4","11.4","76.2","7.3"
"Black other","62.1","22.7","65.0","14.1","64.9","12.7","70.0","6.4"
"White","67.2","20.9","73.4","13.8","75.9","10.4","78.1","5.6"
"Other inc Mixed","61.7","22.0","67.1","14.1","69.6","10.3","70.6","6.3"
