"Ethnicity","Highest qualification held",""
"All","All","79%"
"All","Level 4 and above","87%"
"All","Level 3","83%"
"All","Level 2","76%"
"All","Below Level 2","70%"
"All","Other qualifications","77%"
"All","No qualifications","47%"
"Asian","All","71%"
"Asian","Level 4 and above","83%"
"Asian","Level 3","71%"
"Asian","Level 2","62%"
"Asian","Below Level 2","60%"
"Asian","Other qualifications","65%"
"Asian","No qualifications","44%"
"Black","All","75%"
"Black","Level 4 and above","83%"
"Black","Level 3","77%"
"Black","Level 2","67%"
"Black","Below Level 2","67%"
"Black","Other qualifications","76%"
"Black","No qualifications","44%"
"Mixed","All","77%"
"Mixed","Level 4 and above","88%"
"Mixed","Level 3","78%"
"Mixed","Level 2","65%"
"Mixed","Below Level 2","60%"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","37%"
"White","All","80%"
"White","Level 4 and above","87%"
"White","Level 3","84%"
"White","Level 2","77%"
"White","Below Level 2","71%"
"White","Other qualifications","80%"
"White","No qualifications","48%"
"Other","All","71%"
"Other","Level 4 and above","81%"
"Other","Level 3","66%"
"Other","Level 2","64%"
"Other","Below Level 2","62%"
"Other","Other qualifications","67%"
"Other","No qualifications","43%"
