"Ethnicity","Highest qualification held",""
"All","All","74%"
"All","Level 4 and above","84%"
"All","Level 3","79%"
"All","Level 2","71%"
"All","Below Level 2","63%"
"All","Other qualifications","66%"
"All","No qualifications","38%"
"Asian","All","58%"
"Asian","Level 4 and above","74%"
"Asian","Level 3","59%"
"Asian","Level 2","52%"
"Asian","Below Level 2","43%"
"Asian","Other qualifications","49%"
"Asian","No qualifications","22%"
"Black","All","72%"
"Black","Level 4 and above","82%"
"Black","Level 3","74%"
"Black","Level 2","63%"
"Black","Below Level 2","65%"
"Black","Other qualifications","68%"
"Black","No qualifications","35%"
"Mixed","All","73%"
"Mixed","Level 4 and above","83%"
"Mixed","Level 3","74%"
"Mixed","Level 2","66%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","76%"
"White","Level 4 and above","85%"
"White","Level 3","81%"
"White","Level 2","72%"
"White","Below Level 2","65%"
"White","Other qualifications","72%"
"White","No qualifications","41%"
"Other","All","61%"
"Other","Level 4 and above","74%"
"Other","Level 3","58%"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","47%"
"Other","No qualifications","27%"
